"catalognumber","decimallatitude","decimallongitude"
"MSB:Mamm:128006",40.74238,-108.067901
"UMZM:Mamm:20235",46.46856,-109.93462
"40063355",50.9700093,-114.086095
"39982574",46.8587289378,-96.8614737132
"40134868",49.7383861981,-112.8456181728
"40208246",53.52663,-113.52169667
"39942701",49.9883299987,-97.2078731802
"39826236",51.12420283,-114.21308833
"39822680",51.0406883618,-114.0159672188
"39497727",46.8933677813,-96.877911212
"39233160",53.5092895832,-113.4722982694
"39498047",46.8937089248,-96.8764477317
"39496934",46.8934448949,-96.8794893567
"39263227",51.04730283,-114.04940833
"38740255",50.4286369117,-104.6148120008
"39268314",44.9677160894,-110.707951942
"39294801",52.1371233101,-106.6304077476
"38404872",50.9075113527,-114.0780552322
"39132225",51.2677528751,-114.0178500116
"38940379",51.4720237525,-114.0536868892
"39120145",53.5446144205,-113.5118778967
"38209132",52.2348153864,-113.7884730437
"38169683",51.0775756836,-114.1247253418
"38919012",51.2962989807,-114.0267333984
"38404680",50.9075221469,-114.0778544005
"38942885",52.2349738366,-113.7885445656
"12753339",49.588832044,-108.8258886337
"DMNS:Mamm:20378",39.8653569,-104.6621935
"DMNS:Mamm:20358",39.8513285,-104.6624361
"DMNS:Mamm:20361",39.8598,-104.696641
"DMNS:Mamm:20356",39.840665,-104.695694
"DMNS:Mamm:20357",39.877692,-104.696237
"DMNS:Mamm:20354",39.88948,-104.696309
"DMNS:Mamm:20374",39.88012,-104.684791
"DMNS:Mamm:20359",39.85833,-104.66694
"DMNS:Mamm:20355",39.877475,-104.65241
"DMNS:Mamm:20360",39.877424,-104.649537
"37931269",51.0777222781,-114.1249355301
"37839046",52.0817528333,-106.64257
"37767628",50.921146547,-114.0626705638
"37724653",49.7359397,-112.8179047
"36730625",43.6628258031,-97.7875770188
"35732985",48.94265,-108.42455
"34625907",46.8084718746,-104.2810539713
"37432950",49.7383577705,-112.8447936529
"37260207",37.8483713776,-119.2327395135
"37305319",49.7393363757,-112.853700768
"37036744",51.0447331,-114.0718831
"36868733",51.0497326931,-114.0776909009
"27809203",48.2529716667,-103.0166083333
"36440032",51.1583945,-114.08083333
"36396652",49.1510694711,-107.5103418015
"28204449",47.35973,-101.3863966667
"18590917",53.5332555182,-113.4554868498
"36197248",51.0504638889,-114.0649638889
"36101741",50.1704746248,-97.1293516211
"35863227",41.1771147978,-105.7214810607
"35981684",46.8536418974,-100.7638563631
"35965415",46.8285466667,-100.7359616667
"36209322",50.9050556084,-114.0781949293
"35844451",51.0519833333,-114.1060638333
"35562921",51.0111816,-114.0486604
"35539528",38.35278,-119.64008
"35539710",38.38447,-119.6757
"35497511",38.29649,-119.63678
"35497892",38.35529,-119.64711
"35468952",38.32901,-119.64626
"35468280",38.35453,-119.64772
"35468526",38.30504,-119.65759
"35468856",38.29782,-119.63419
"35469239",38.29765,-119.63917
"35469313",38.40741,-119.6808
"35455218",38.3340214187,-119.650852159
"35455033",38.57098,-119.83639
"35414999",38.47247,-119.76637
"35415101",38.47287,-119.76129
"35415245",38.47371,-119.74394
"35416058",38.35912,-119.64825
"35373776",38.35082,-119.63952
"35333392",38.3454840435,-119.666280548
"35330781",38.4759706583,-119.7670414707
"35331834",38.3827759857,-119.6647101787
"35330654",38.5404585597,-119.8139942517
"35330484",38.3351894427,-119.928218204
"35332886",38.4994617155,-119.7960987465
"35331066",53.5191650391,-113.4808349609
"35332466",38.4761091459,-119.7666784689
"35216327",45.462932318,-99.3796346337
"29734960",46.3730383333,-119.561585
"29267945",43.7855477311,-97.0425644551
"35071880",55.0620816084,-114.0986047967
"34580914",52.1275697433,-106.7338146584
"34648251",53.5141061798,-113.4111571963
"34552000",53.543258,-113.510484
"34568217",53.53915833,-113.51145833
"34478280",53.5239216667,-113.519805
"34480522",38.3215731597,-119.6108259584
"34150300",53.0138352214,-112.8227911144
"33917140",53.5207367383,-113.6041161241
"33678054",50.9469333333,-114.0878
"33653996",53.545344,-113.510918
"33654515",53.545462,-113.5128389722
"33653874",53.54455675,-113.5102170278
"33653938",53.5386519722,-113.5087199722
"33506873",53.5267206146,-113.5195586085
"MVZ:Mamm:79589",41.9493752,-120.3115805
"MVZ:Mamm:105673",38.44484,-119.300287
"MSB:Mamm:7619",43.4213,-95.225
"33448295",52.1251090103,-106.658826495
"33414373",53.5361897427,-113.5115783842
"33414051",53.5383043868,-113.5104015919
"33406219",53.6355299537,-113.4623299537
"33414052",53.5365250479,-113.5101591225
"33150494",50.8746896338,-114.0374260929
"33046855",50.50672319,-104.6628269994
"32843874",37.2051416667,-118.5213383333
"32803372",37.7904970565,-119.1893457105
"32761842",53.0162092724,-112.8288618654
"32718126",50.9634448815,-114.008397173
"32528686",53.5461245,-113.4938229
"32527888",53.5461245,-113.4938229
"32527890",53.5461245,-113.4938229
"32512569",53.5473509722,-113.515262
"32513744",53.5425878,-113.5104579
"32513679",53.5422184722,-113.5102363611
"32513743",53.5425878,-113.5104579
"32512949",53.5474419722,-113.515624
"32513142",53.545008,-113.5101889722
"32513691",53.5425878,-113.5104579
"32087701",53.5518707507,-113.2074579097
"31772938",51.052475,-114.0632555556
"31772928",51.0566222222,-114.0758833333
"31521727",53.4576355517,-113.5145489126
"31453091",51.0847555,-114.0726305
"31376369",50.957735,-114.0645969
"29203352",50.400454687,-104.6413756907
"31157577",50.9790283333,-114.0816333333
"31098366",52.1058149464,-106.5822335596
"30948268",51.1350157765,-114.2426722495
"30878875",51.0207888333,-114.1011055
"30785708",51.0558445,-114.067825
"30402634",52.1091193936,-106.6552518229
"30267871",51.1357296358,-114.2438037804
"30214585",50.4092783333,-104.6613083333
"29994195",51.0578528333,-114.0550778333
"29955730",53.5142743404,-113.5402355808
