"catalognumber","decimallatitude","decimallongitude","roundlat","roundlon"
"MSB:Mamm:128006",40.74238,-108.067901,40.74238,-108.0679
"UMZM:Mamm:20235",46.46856,-109.93462,46.46856,-109.93462
"40063355",50.9700093,-114.086095,50.97001,-114.0861
"39982574",46.8587289378,-96.8614737132,46.85873,-96.86147
"40134868",49.7383861981,-112.8456181728,49.73839,-112.84562
"40208246",53.52663,-113.52169667,53.52663,-113.5217
"39942701",49.9883299987,-97.2078731802,49.98833,-97.20787
"39826236",51.12420283,-114.21308833,51.1242,-114.21309
"39822680",51.0406883618,-114.0159672188,51.04069,-114.01597
"39497727",46.8933677813,-96.877911212,46.89337,-96.87791
"39233160",53.5092895832,-113.4722982694,53.50929,-113.4723
"39498047",46.8937089248,-96.8764477317,46.89371,-96.87645
"39496934",46.8934448949,-96.8794893567,46.89344,-96.87949
"39263227",51.04730283,-114.04940833,51.0473,-114.04941
"38740255",50.4286369117,-104.6148120008,50.42864,-104.61481
"39268314",44.9677160894,-110.707951942,44.96772,-110.70795
"39294801",52.1371233101,-106.6304077476,52.13712,-106.63041
"38404872",50.9075113527,-114.0780552322,50.90751,-114.07806
"39132225",51.2677528751,-114.0178500116,51.26775,-114.01785
"38940379",51.4720237525,-114.0536868892,51.47202,-114.05369
"39120145",53.5446144205,-113.5118778967,53.54461,-113.51188
"38209132",52.2348153864,-113.7884730437,52.23482,-113.78847
"38169683",51.0775756836,-114.1247253418,51.07758,-114.12473
"38919012",51.2962989807,-114.0267333984,51.2963,-114.02673
"38404680",50.9075221469,-114.0778544005,50.90752,-114.07785
"38942885",52.2349738366,-113.7885445656,52.23497,-113.78854
"12753339",49.588832044,-108.8258886337,49.58883,-108.82589
"DMNS:Mamm:20378",39.8653569,-104.6621935,39.86536,-104.66219
"DMNS:Mamm:20358",39.8513285,-104.6624361,39.85133,-104.66244
"DMNS:Mamm:20361",39.8598,-104.696641,39.8598,-104.69664
"DMNS:Mamm:20356",39.840665,-104.695694,39.84066,-104.69569
"DMNS:Mamm:20357",39.877692,-104.696237,39.87769,-104.69624
"DMNS:Mamm:20354",39.88948,-104.696309,39.88948,-104.69631
"DMNS:Mamm:20374",39.88012,-104.684791,39.88012,-104.68479
"DMNS:Mamm:20359",39.85833,-104.66694,39.85833,-104.66694
"DMNS:Mamm:20355",39.877475,-104.65241,39.87747,-104.65241
"DMNS:Mamm:20360",39.877424,-104.649537,39.87742,-104.64954
"37931269",51.0777222781,-114.1249355301,51.07772,-114.12494
"37839046",52.0817528333,-106.64257,52.08175,-106.64257
"37767628",50.921146547,-114.0626705638,50.92115,-114.06267
"37724653",49.7359397,-112.8179047,49.73594,-112.8179
"36730625",43.6628258031,-97.7875770188,43.66283,-97.78758
"35732985",48.94265,-108.42455,48.94265,-108.42455
"34625907",46.8084718746,-104.2810539713,46.80847,-104.28105
"37432950",49.7383577705,-112.8447936529,49.73836,-112.84479
"37260207",37.8483713776,-119.2327395135,37.84837,-119.23274
"37305319",49.7393363757,-112.853700768,49.73934,-112.8537
