SPEC,roundlon,roundlat
Leptown,-108.0679,40.74238
Leptown,-109.93462,46.46856
Leptown,-114.05369,51.47202
Leptown,-113.78847,52.23482
Leptown,-104.66219,39.86536
Leptown,-112.8179,49.73594
Leptown,-97.78758,43.66283
Leptown,-108.42455,48.94265
Leptown,-104.28105,46.80847
Leptown,-103.01661,48.25297
Leptown,-107.51034,49.15107
Leptown,-101.3864,47.35973
Leptown,-119.64626,38.32901
Leptown,-99.37963,45.46293
Leptown,-97.04256,43.78555
Leptown,-114.0986,55.06208
Leptown,-95.225,43.4213
Leptown,-112.82886,53.01621
Leptown,-113.51526,53.54735
Leptown,-111.9409,53.47865
Leptown,-96.43515,47.02054
Leptown,-108.84764,52.37245
Leptown,-103.78673,42.55294
Leptown,-107.83707,40.00248
Leptown,-106.63392,52.13121
Leptown,-111.03337,41.43361
Leptown,-111.61956,49.08589
Leptown,-119.9978,38.71541
Leptown,-102.99067,49.86467
Leptown,-100.06956,51.13367
Leptown,-119.92174,39.3473
Leptown,-102.38708,48.65469
Leptown,-118.19421,37.52863
Leptown,-100.94465,49.11771
Leptown,-113.96524,50.72603
Leptown,-95.33831,48.84687
Leptown,-97.14284,49.8027
Leptown,-104.60914,50.46372
Leptown,-107.77213,47.74746
Leptown,-111.97383,41.223
Leptown,-104.82025,41.13998
Leptown,-110,49.21667
Leptown,-100.58333,50.43333
Leptown,-103.66667,50.53333
Leptown,-105.23333,51.08333
Leptown,-104.85,49.15
Leptown,-106.7,49.18333
Leptown,-102.16667,51.05
Leptown,-111.29974,47.64804
Leptown,-111.65474,44.61784
Leptown,-112.96233,44.47083
Leptown,-110.50814,38.0821
Leptown,-111.40871,39.33467
Leptown,-111.7578,40.75095
Leptown,-111.11787,40.6034
Leptown,-113.744,41.867
Leptown,-109.5,41.5
Leptown,-109.96642,40.19558
Leptown,-110.549,39.793
Leptown,-107.41,37.01
Leptown,-112.33722,38.38611
Leptown,-111.57188,38.88205
Leptown,-111.52713,38.306
Leptown,-99.69238,41.51645
Leptown,-97.04516,50.3934
Leptown,-99.99838,40.87003
Leptown,-102.25455,43.87667
Leptown,-118.87199,37.29755
Leptown,-119.48936,37.84987
Leptown,-106.2353,46.752
Leptown,-105.00917,42.74648
Leptown,-118.42594,36.77713
Leptown,-110.77185,41.86182
Leptown,-105.5008,39.0003
Leptown,-100.0007,47.5003
Leptown,-97.4832,38.89124
Leptown,-106.50937,41.79884
Leptown,-105.51754,39.491
Leptown,-105.43077,46.73517
Leptown,-100.00235,40.29973
Leptown,-99.32677,38.87918
Leptown,-108.74988,48.1761
Leptown,-95.04334,45.12191
Leptown,-100.84837,46.76249
Leptown,-110.11572,42.99272
Leptown,-121.8814,42.3983
Leptown,-102.6331,46.0001
Leptown,-99.60316,43.87888
Leptown,-104.04389,39.615
Leptown,-106.20363,38.02418
Leptown,-107.25694,40.49194
Leptown,-106.10694,39.33528
Leptown,-103.27861,38.94278
Leptown,-105.10139,40.16722
Leptown,-105.82307,40.25221
Leptown,-106.63893,43.69576
Leptown,-97.4031,48.6481
Leptown,-105.66636,36.689
Leptown,-112.7605,45.2134
Leptown,-120.34428,41.4364
Leptown,-119.4344,48.9392
Leptown,-107.97861,41.52816
Leptown,-120.21576,40.95806
Leptown,-120.98052,41.88422
Leptown,-118.84104,38.53709
Leptown,-113.5606,42.3353
Leptown,-111.6778,45.2033
Leptown,-104.478,40.6098
Leptown,-118.38833,47.05095
Leptown,-120.27583,47.22839
Leptown,-120.3447,42.2324
Leptown,-94.42834,48.76552
Leptown,-95.70032,46.39996
Leptown,-102.39917,41.80118
Leptown,-117.38,46.6297
Leptown,-93.5669,45.3039
Leptown,-94.6828,43.1128
Leptown,-115.83972,41.86917
Leptown,-119.5822,48.3614
Leptown,-118.6711,46.04
Leptown,-106.65297,41.10689
Leptown,-107.77917,44.53556
Leptown,-106,41.20667
Leptown,-110.7175,43.62686
Leptown,-107.162,44.8496
Leptown,-103.6625,41.23583
Leptown,-100.3551,44.4097
