USE_LICENSE_URL,GUID,MEDIA,SCIENTIFIC_NAME,ID_DATE,ID_HISTORY,CITATIONS,IDENTIFIED_BY,OTHERCATALOGNUMBERS,RELATEDCATALOGEDITEMS,COLLECTORS,PREPARATORS,VERBATIM_COORDINATES,SPECIMEN_EVENT_TYPE,EVENT_ASSIGNED_BY_AGENT,EVENT_ASSIGNED_DATE,SPECIMEN_EVENT_REMARK,LOCALITY_NAME,GEOREFERENCE_SOURCE,GEOREFERENCE_PROTOCOL,COORDINATEUNCERTAINTYINMETERS,DATUM,COUNTRY,STATE_PROV,FEATURE,COUNTY,ASSOCIATED_SPECIES,ORIG_ELEV_UNITS,SPEC_LOCALITY,VERBATIM_LOCALITY,COLLECTING_METHOD,VERBATIM_DATE,BEGAN_DATE,ENDED_DATE,PARTS,PARTDETAIL,DEC_LAT,DEC_LONG,COLLECTING_EVENT_ID,YEAR_COLLECTED,RELATEDSPECIMENID,NATURE_OF_ID,ENTERED_BY,COLL_EVENT_REMARKS,DAY_COLLECTED,ACCN_NUMBER,FORMATTED_SCIENTIFIC_NAME,LOCALITY_REMARKS,MAKER,SPECIMENEVENTDETERMINER,MONTH_COLLECTED,REMARK,ELEV_IN_M,INDIVIDUALCOUNT,COLLECTING_SOURCE,MADE_DATE,VERIFICATIONSTATUS,IDENTIFICATION_REMARKS
"http://creativecommons.org/publicdomain/zero/1.0/","DMNS:Mamm:20360","[]","Lepus townsendii","2019-05-02","<i>Lepus townsendii</i> (accepted ID) identified by USDA Wildlife Services on 2019-05-02; method: features","voucher of <a href=""http://arctos.database.museum/name/Lepus townsendii"">Lepus townsendii</a> in <a href=""http://arctos.database.museum/publication/10009110"">Brown et al. 2019</a>","USDA Wildlife Services","DZTM: Denver Zoology Tissue Mammal=9225; collector number=3821","","USDA Wildlife Services","","39.877424/-104.649537","collection","Jeffrey T. Stephenson","2019-06-13","","","Google Earth and confirmed via pictometry ortho","Google automated georeference","27","World Geodetic System 1984","United States","Colorado","","Denver County","","m","Denver, Denver International Airport","Denver, Denver International Airport","salvage","2019-05-02","2019-05-02","2019-05-02","whole organism (frozen)","[{""ID"":""28819427"",""SF"":"""",""PN"":""whole organism (frozen)"",""LC"":""1"",""DP"":""being processed"",""CD"":""good"",""BC"":"""",""CP"":"""",""RK"":"""",""PA"":[]}]","39.877424","-104.649537","11389826","2019","","features","Encumbered","","02","2019-45","<i>Lepus townsendii</i>","","","Jeffrey T. Stephenson on 2019-06-13","05","Rabbit carcass reported by departing aircraft.  No strikes or damages reported.","1628-1628","1","wild caught","2019-05-02","unverified",""
"http://creativecommons.org/publicdomain/zero/1.0/","UMNH:Mamm:24500","[]","Lepus townsendii townsendii","2016-10-24","<i>Lepus townsendii townsendii</i> (accepted ID) identified by unknown on 2016-10-24; method: unknown Remark: Former nature_of_id: legacy.","","unknown","collector number=DRA 9","","David R. Anderson","","40.155/-109.97","collection","unknown","2016-10-24","OCCURRENCEREMARKS: wild caught; ESTABLISHMENTMEANS: native","","not recorded","not recorded","1000","North American Datum 1927","United States","Utah","","Uintah County","","m","5 mi SE Myton","United States | Utah | Uintah","","5/24/1968","1968-05-24","1968-05-24","skin; skin sample; skull","[{""ID"":""26326699"",""SF"":"""",""PN"":""skin"",""LC"":""1"",""DP"":""in collection"",""CD"":""unchecked"",""BC"":"""",""CP"":"""",""RK"":"""",""PA"":[]},{""ID"":""27160221"",""SF"":""26326699"",""PN"":""skin"",""LC"":""1"",""DP"":""used up"",""CD"":""unchecked"",""BC"":"""",""CP"":"""",""RK"":"""",""PA"":[]},{""ID"":""26326700"",""SF"":"""",""PN"":""skull"",""LC"":""1"",""DP"":""in collection"",""CD"":""unchecked"",""BC"":"""",""CP"":"""",""RK"":"""",""PA"":[]}]","40.155","-109.97","11008844","1968","","unknown","Encumbered","","24","0000","<i>Lepus townsendii townsendii</i>","VERBATIMELEVATION: 5000","","unknown on 2016-10-24","05","","1524-1524","1","","2016-10-24","unverified","Former nature_of_id: legacy."
"http://arctosdb.org/home/data/","UWYMV:Mamm:3015","[]","Lepus townsendii","1970-12-09","<i>Lepus townsendii</i> (accepted ID) identified by Yank Lew on 1970-12-09; method: unknown Remark: Former nature_of_id: legacy.","","Yank Lew","collector number=11","","Yank Lew","","","collection","James M. Maley","2012-09-27","","","GeoLocate","GeoLocate","4592","World Geodetic System 1984","United States","Wyoming","","Carbon County","","","1 mile N Sinclair","Shot w/ spotlight at 9:00 PM, 1 miles N of Sinclair","","1970-12-09","1970-12-09","1970-12-09","skull","[{""ID"":""22520649"",""SF"":"""",""PN"":""skull"",""LC"":""1"",""DP"":""in collection"",""CD"":""whole"",""BC"":"""",""CP"":"""",""RK"":"""",""PA"":[]}]","41.789489","-107.1125","10617621","1970","","unknown","Encumbered","","09","1","<i>Lepus townsendii</i>","","","James M. Maley on 2012-09-27","12","","","1","wild caught","1970-12-09","unverified","Former nature_of_id: legacy."
"http://creativecommons.org/licenses/by/3.0/","UTEP:ES:119-24","[]","Lepus townsendii cf.","1988-06-11","<i>Lepus townsendii cf.</i> (accepted ID) identified by Arthur H. Harris on 1988-06-11; method: features Remark: species cf.; Former nature_of_id: expert.","","Arthur H. Harris","collector number=5974","","Bureau of Land Management, Arthur H. Harris","","","collection","Arthur H. Harris","1988-06-02","","UTEP:ES:Site 119","collector","not recorded","","World Geodetic System 1984","United States","New Mexico","","Eddy County","","m","Algerita Blossom Cave","USA, New Mexico, Eddy, Algerita Blossom Cave, Pecos River drainage, 32.3773 Lat, -104.4516 Lon, SEC 23  R24E T22S, Elev. 1280 M","","1988-06-02","1988-06-02","1988-06-02","tooth, molar","[{""ID"":""26427656"",""SF"":"""",""PN"":""tooth, molar"",""LC"":""1"",""DP"":""in collection"",""CD"":""good"",""BC"":"""",""CP"":"""",""RK"":""right m/2"",""PA"":[]}]","32.3773","-104.4516","11023278","1988","","features","Encumbered","specimens collected by speleologists who gave them to the BLM who turned them over to Arthur Harris","02","1988.002","<i>Lepus townsendii</i>","Pecos River Drainage","","Arthur H. Harris on 1988-06-02","06","","1280-1280","1","","1988-06-11","unverified","species cf.; Former nature_of_id: expert."
"http://creativecommons.org/publicdomain/zero/1.0/","DMNS:Mamm:3120","[]","Lepus townsendii campanius","1938-01-24","<i>Lepus townsendii campanius</i> (accepted ID) identified by N. A. Pennington on 1938-01-24; method: features Remark: Former nature_of_id: field.","voucher of <a href=""http://arctos.database.museum/name/Lepus townsendii campanius"">Lepus townsendii campanius</a> in <a href=""http://arctos.database.museum/publication/10008227"">Mills et al. 2018</a>; voucher of <a href=""http://arctos.database.museum/name/Lepus townsendii campanius"">Lepus townsendii campanius</a> in <a href=""http://arctos.database.museum/publication/10009110"">Brown et al. 2019</a>","N. A. Pennington","","","N. A. Pennington","","40.5625/-106.44389","collection","Meghan L. Truckey","2012-06-27","","","GeoLocate","GeoLocate","3036","World Geodetic System 1984","United States","Colorado","","Jackson County","","ft","Coalmont","Coalmont, Jackson Co., Colo. 8400 ft.","","24 January 1938","1938-01-24","1938-01-24","skull; skin, study; skin, study sample; skin, study sample","[{""ID"":""21871371"",""SF"":"""",""PN"":""skin, study"",""LC"":""1"",""DP"":""in collection"",""CD"":""very good"",""BC"":"""",""CP"":"""",""RK"":"""",""PA"":[]},{""ID"":""27136505"",""SF"":""21871371"",""PN"":""skin, study"",""LC"":""1"",""DP"":""subsampled"",""CD"":""very good"",""BC"":"""",""CP"":"""",""RK"":"""",""PA"":[]},{""ID"":""29008289"",""SF"":""21871371"",""PN"":""skin, study"",""LC"":""1"",""DP"":""on loan"",""CD"":""very good"",""BC"":"""",""CP"":"""",""RK"":"""",""PA"":[]},{""ID"":""21871372"",""SF"":"""",""PN"":""skull"",""LC"":""1"",""DP"":""in collection"",""CD"":""good"",""BC"":"""",""CP"":"""",""RK"":""the right zygomatic is missing and 3 right maxillary teeth are missing"",""PA"":[]}]","40.5625","-106.44389","10359124","1938","","features","Encumbered","","24","1111","<i>Lepus townsendii campanius</i>","","","Meghan L. Truckey on 2012-06-27","01","","2560.32-2560.32","1","wild caught","1938-01-24","unverified","Former nature_of_id: field."
"http://creativecommons.org/publicdomain/zero/1.0/","UMNH:Mamm:10956","[]","Lepus townsendii townsendii","2016-10-24","<i>Lepus townsendii townsendii</i> (accepted ID) identified by unknown on 2016-10-24; method: unknown Remark: Former nature_of_id: legacy.","","unknown","collector number=JMB 1725","","Jack M. Broughton","","40.71833/-109.18","collection","unknown","2016-10-24","OCCURRENCEREMARKS: wild caught; ESTABLISHMENTMEANS: native","","not recorded","not recorded","805","North American Datum 1927","United States","Utah","","Uintah County","","","Crouse Reservoir, 16 mi E, 20 mi N Vernal","United States | Utah | Uintah","","7/25/1996","1996-07-25","1996-07-25","skull; skeleton","[{""ID"":""26287263"",""SF"":"""",""PN"":""skeleton"",""LC"":""1"",""DP"":""in collection"",""CD"":""unchecked"",""BC"":"""",""CP"":"""",""RK"":"""",""PA"":[]},{""ID"":""26287262"",""SF"":"""",""PN"":""skull"",""LC"":""1"",""DP"":""in collection"",""CD"":""checked"",""BC"":"""",""CP"":"""",""RK"":"""",""PA"":[]}]","40.71833","-109.18","11001759","1996","","unknown","Encumbered","","25","0000","<i>Lepus townsendii townsendii</i>","","","unknown on 2016-10-24","07","","","1","","2016-10-24","unverified","Former nature_of_id: legacy."
"http://creativecommons.org/publicdomain/zero/1.0/","UMNH:Mamm:18024","[]","Lepus townsendii townsendii","2016-10-24","<i>Lepus townsendii townsendii</i> (accepted ID) identified by unknown on 2016-10-24; method: unknown Remark: Former nature_of_id: legacy.","","unknown","collector number=EBR 80","","Elroy B. Robinson","","38.5223501/-107.1896484","collection","unknown","2016-10-24","OCCURRENCEREMARKS: wild caught; ESTABLISHMENTMEANS: native","","not recorded","not recorded","500","North American Datum 1927","United States","Colorado","","Gunnison County","","m","Gunnison River, 3 mi N confluence Dry Gulch","United States | Colorado | Gunnison","","6/30/1961","1961-06-30","1961-06-30","skin; skin sample; skull","[{""ID"":""26309475"",""SF"":"""",""PN"":""skin"",""LC"":""1"",""DP"":""in collection"",""CD"":""unchecked"",""BC"":"""",""CP"":"""",""RK"":"""",""PA"":[]},{""ID"":""27160173"",""SF"":""26309475"",""PN"":""skin"",""LC"":""1"",""DP"":""used up"",""CD"":""unchecked"",""BC"":"""",""CP"":"""",""RK"":"""",""PA"":[]},{""ID"":""26309476"",""SF"":"""",""PN"":""skull"",""LC"":""1"",""DP"":""in collection"",""CD"":""unchecked"",""BC"":"""",""CP"":"""",""RK"":"""",""PA"":[]}]","38.5223501","-107.1896484","11006718","1961","","unknown","Encumbered","","30","0000","<i>Lepus townsendii townsendii</i>","VERBATIMELEVATION: 7600","","unknown on 2016-10-24","06","","2316.48-2316.48","1","","2016-10-24","unverified","Former nature_of_id: legacy."
"http://creativecommons.org/publicdomain/zero/1.0/","DMNS:Mamm:3168","[]","Lepus townsendii campanius","1938-02-06","<i>Lepus townsendii campanius</i> (accepted ID) identified by Robert L. Landberg on 1938-02-06; method: unknown Remark: Former nature_of_id: legacy.","voucher of <a href=""http://arctos.database.museum/name/Lepus townsendii campanius"">Lepus townsendii campanius</a> in <a href=""http://arctos.database.museum/publication/10008227"">Mills et al. 2018</a>; voucher of <a href=""http://arctos.database.museum/name/Lepus townsendii campanius"">Lepus townsendii campanius</a> in <a href=""http://arctos.database.museum/publication/10009110"">Brown et al. 2019</a>","Robert L. Landberg","","","Robert L. Landberg","","38.94278/-103.27861","collection","Meghan L. Truckey","2012-06-27","","","GeoLocate","GeoLocate","3036","World Geodetic System 1984","United States","Colorado","","Lincoln County","","","Boyero","Boyero, Lincoln Co., Colo.","","6 February 1938","1938-02-06","1938-02-06","skull; skin, study; skin, study sample; skin, study sample","[{""ID"":""21871735"",""SF"":"""",""PN"":""skin, study"",""LC"":""1"",""DP"":""in collection"",""CD"":""very good"",""BC"":"""",""CP"":"""",""RK"":"""",""PA"":[]},{""ID"":""27136619"",""SF"":""21871735"",""PN"":""skin, study"",""LC"":""1"",""DP"":""subsampled"",""CD"":""very good"",""BC"":"""",""CP"":"""",""RK"":"""",""PA"":[]},{""ID"":""29008301"",""SF"":""21871735"",""PN"":""skin, study"",""LC"":""1"",""DP"":""on loan"",""CD"":""very good"",""BC"":"""",""CP"":"""",""RK"":"""",""PA"":[]},{""ID"":""21871736"",""SF"":"""",""PN"":""skull"",""LC"":""1"",""DP"":""in collection"",""CD"":""very good"",""BC"":"""",""CP"":"""",""RK"":"""",""PA"":[]}]","38.94278","-103.27861","10358008","1938","","unknown","Encumbered","","06","1111","<i>Lepus townsendii campanius</i>","","","Meghan L. Truckey on 2012-06-27","02","","","1","wild caught","1938-02-06","accepted","Former nature_of_id: legacy."
"http://creativecommons.org/publicdomain/zero/1.0/","DMNS:Mamm:18792","[]","Lepus townsendii","2018-01-11","<i>Lepus townsendii</i> (accepted ID) identified by Mafalda Sousa Ferreira on 2018-01-11; method: features Remark: Former nature_of_id: expert.","voucher of <a href=""http://arctos.database.museum/name/Lepus townsendii"">Lepus townsendii</a> in <a href=""http://arctos.database.museum/publication/10009110"">Brown et al. 2019</a>","Mafalda Sousa Ferreira","DZTM: Denver Zoology Tissue Mammal=7779; collector number=JMG177","","Mafalda Sousa Ferreira, Liam Rossier, Tommy Williams","Andrea Marie Carrillo","38.190879/-106.698123","collection","Andrew Charles Doll","2018-02-15","Former verification status: verified by collector.","","Scott GPS","not recorded","10","World Geodetic System 1984","United States","Colorado","","Saguache County","","m","County Road 17GG, 200 yards off road, south of Cochetopa Dome","County road 17GG, 200 yards off road, south of Cochetopa Dome","","2018-01-11","2018-01-11","2018-01-11","liver (frozen); kidney (frozen); lung (frozen); heart (frozen); muscle (frozen); skeleton; skin, study; skin, study sample","[{""ID"":""27759913"",""SF"":"""",""PN"":""heart (frozen)"",""LC"":""1"",""DP"":""in collection"",""CD"":""very good"",""BC"":"""",""CP"":"""",""RK"":""taken in the field"",""PA"":[]},{""ID"":""27759911"",""SF"":"""",""PN"":""kidney (frozen)"",""LC"":""1"",""DP"":""in collection"",""CD"":""very good"",""BC"":"""",""CP"":"""",""RK"":""taken in the field"",""PA"":[]},{""ID"":""27759910"",""SF"":"""",""PN"":""liver (frozen)"",""LC"":""1"",""DP"":""in collection"",""CD"":""very good"",""BC"":"""",""CP"":"""",""RK"":""taken in the field"",""PA"":[]},{""ID"":""27759912"",""SF"":"""",""PN"":""lung (frozen)"",""LC"":""1"",""DP"":""in collection"",""CD"":""very good"",""BC"":"""",""CP"":"""",""RK"":""taken in the field"",""PA"":[]},{""ID"":""27759914"",""SF"":"""",""PN"":""muscle (frozen)"",""LC"":""1"",""DP"":""in collection"",""CD"":""very good"",""BC"":"""",""CP"":"""",""RK"":""taken in the field"",""PA"":[]},{""ID"":""27888455"",""SF"":"""",""PN"":""skeleton"",""LC"":""1"",""DP"":""in collection"",""CD"":""very good"",""BC"":"""",""CP"":"""",""RK"":"""",""PA"":[]},{""ID"":""27888454"",""SF"":"""",""PN"":""skin, study"",""LC"":""1"",""DP"":""in collection"",""CD"":""very good"",""BC"":"""",""CP"":"""",""RK"":"""",""PA"":[]},{""ID"":""29008262"",""SF"":""27888454"",""PN"":""skin, study"",""LC"":""1"",""DP"":""on loan"",""CD"":""very good"",""BC"":"""",""CP"":"""",""RK"":"""",""PA"":[]}]","38.190879","-106.698123","11170762","2018","","features","Encumbered","","11","2018-4","<i>Lepus townsendii</i>","","","Andrew Charles Doll on 2018-02-15","01","Hair color: 60% White; Weather conditions: Clear day; not snowing","2842-2842","1","wild caught","2018-01-11","verified and locked","Former nature_of_id: expert."
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Mamm:67028","[]","Lepus townsendii campanius","1999-01-27","<i>Lepus townsendii campanius</i> (accepted ID) identified by Museum of Vertebrate Zoology, University of California, Berkeley on 1999-01-27; method: unknown Remark: Former nature_of_id: legacy.","","Museum of Vertebrate Zoology, University of California, Berkeley","collector number=2640","","Seth B. Benson, Emma D. Benson","","4175997N 441714E ZONE 13N","collection","Mindy R. Williamson","2003-10-23","","","Colorado RGIS","not recorded","1000","North American Datum 1927","United States","Colorado","","Alamosa County","","","Medano Springs Ranch headquarters","Medano Springs Ranch Hq","","2 Jul 1935","1935-07-02","1935-07-02","skull; skin, study","[{""ID"":""13121030"",""SF"":"""",""PN"":""skin, study"",""LC"":""1"",""DP"":""in collection"",""CD"":""unchecked"",""BC"":"""",""CP"":""[  ] Museum of Vertebrate Zoology (institution)"",""RK"":"""",""PA"":[]},{""ID"":""15121030"",""SF"":"""",""PN"":""skull"",""LC"":""1"",""DP"":""in collection"",""CD"":""unchecked"",""BC"":"""",""CP"":""[  ] Museum of Vertebrate Zoology (institution)"",""RK"":"""",""PA"":[]}]","37.73122972","-105.6614431","10142628","1935","","unknown","Encumbered","","02","4737","<i>Lepus townsendii campanius</i>","","","Mindy R. Williamson on 2003-10-23","07","","","1","wild caught","1999-01-27","unverified","Former nature_of_id: legacy."
