Sample	Lat	Long	PC1	PC2	PC3
DMNS:Mamm:1179	40.85889	-102.80056	-2.932664711	-2.894463743	-1.99591952
DMNS:Mamm:1679	39.3722200	-104.8555600	-9.89410569	-2.107443505	2.761880543
DMNS:Mamm:1704	37.82608	-105.97291	-4.049554391	0.245123345	2.702771951
DMNS:Mamm:1705	37.82608	-105.97291	-2.760911426	-0.017685759	0.557265526
DMNS:Mamm:1774	37.82608	-105.97291	-3.230280794	-1.341935025	4.641707031
DMNS:Mamm:1775	37.82608	-105.97291	-3.194191075	0.346524266	1.192920938
DMNS:Mamm:1776	37.82608	-105.97291	-3.736573223	-1.135661723	2.098954914
DMNS:Mamm:18790	38.22816697	-106.763816	-2.247293335	1.798170331	-3.074044372
DMNS:Mamm:18791	38.21743998	-106.775866	1.196478869	1.546661538	-2.572098722
DMNS:Mamm:18792	38.190879	-106.698123	1.091107182	2.544167518	-0.959129195
DMNS:Mamm:18793	38.028304008767	-106.207744	-1.858438697	0.244884083	1.262857454
DMNS:Mamm:18794	38.49870002	-106.849692	-0.447454589	3.186424895	2.743131356
DMNS:Mamm:18795	38.500341	-106.849362	-1.267738755	3.304854466	-1.935053402
DMNS:Mamm:18796	38.50924999	-106.83825	0.592643154	3.91571676	2.876631325
DMNS:Mamm:18797	38.21527401	-106.780597	3.336162176	2.369210608	-0.690631895
DMNS:Mamm:18798	38.22767202	-106.81201	6.243443385	1.68005545	-1.583130754
DMNS:Mamm:18799	38.2144070	-106.8035010	5.494880876	0.409465059	-0.23629747
DMNS:Mamm:18800	38.2174680	-106.8024810	3.624510254	1.436910866	2.354817723
DMNS:Mamm:18801	38.5111792	-106.8296629	2.464356935	1.298551693	0.345054508
DMNS:Mamm:18802	38.2186642	-106.8019956	-0.187539256	2.868116281	-0.77961269
DMNS:Mamm:18803	38.024183968082	-106.203628	2.884350522	0.574842252	0.303814466
DMNS:Mamm:18804	38.28215699	-106.730425	2.042996801	2.445578963	-0.266730541
DMNS:Mamm:18805	38.19048696	-106.830978	-0.786872688	4.44762671	0.358276763
DMNS:Mamm:18806	38.19274798	-106.738822	4.817552676	1.819799672	1.732800329
DMNS:Mamm:18807	38.19517597	-106.737307	0.114454668	2.668212483	1.82762317
DMNS:Mamm:18808	37.97913602	-106.180122	-3.361851844	1.616884286	0.852915653
DMNS:Mamm:2245	40.49194	-107.25694	6.610062911	-1.727989486	0.182039292
DMNS:Mamm:3109	39.550052	-105.782069	-0.157484157	-2.187356524	-2.705169267
DMNS:Mamm:3112	39.550052	-105.782068	-5.496823813	1.714765212	-0.546302139
DMNS:Mamm:3114	40.89861	-104.79611	-0.2909451	-1.982315894	-1.192788521
DMNS:Mamm:3115	40.89861	-104.79611	1.375410546	-2.356211339	-1.426397465
DMNS:Mamm:3120	40.5625	-106.44389	9.343043236	-4.031654186	0.528905959
DMNS:Mamm:3122	40.89861	-104.79611	-0.792850204	0.831764837	-1.902196556
DMNS:Mamm:3128	39.550052	-105.782067	1.306374628	-5.142454513	0.973173517
DMNS:Mamm:3129	39.550051	-105.782066	-6.358010932	0.808800093	-0.0234177
DMNS:Mamm:3132	39.74528	-104.60694	-2.320303004	-2.078062212	1.010955079
DMNS:Mamm:3133	39.74528	-104.60694	-5.469130317	-3.021846555	0.014103793
DMNS:Mamm:3134	39.74528	-104.60694	-4.788456769	-0.965339985	1.586350495
DMNS:Mamm:3135	39.550052	-105.78207	1.18675575	-2.31191065	-2.718520007
DMNS:Mamm:3138	39.55005	-105.782066	-0.722574001	-0.936945004	-2.33182679
DMNS:Mamm:3141	39.55005	-105.782067	2.790596927	0.039801794	-0.064792291
DMNS:Mamm:3146	39.55005	-105.782069	3.709739155	-0.716696087	2.8444783
DMNS:Mamm:3163	39.55005	-105.782068	4.68265484	-0.845003326	0.080450895
DMNS:Mamm:3168	38.94278	-103.27861	-3.770042032	-2.520715023	1.275862748
DMNS:Mamm:3182	39.73833	-104.32278	-4.236578535	-0.730757942	1.300840901
DMNS:Mamm:4070	39.73833	-104.32278	-2.17991714	-1.059596203	-1.028500418
DMNS:Mamm:4086	39.75889	-104.42694	-0.366619993	-2.166736903	-0.984177606
DMNS:Mamm:4087	39.75889	-104.42694	-2.502905879	-0.388712812	-1.674552304
DMNS:Mamm:4088	39.75889	-104.42694	-2.670060729	-4.052796639	-1.655186189
DMNS:Mamm:4089	39.75889	-104.42694	-4.78598793	1.202178506	-2.495179882
DMNS:Mamm:4312	39.62816462	-106.0441533	6.38637556	-0.939843144	-0.532989462
DMNS:Mamm:4313	39.62816462	-106.0441533	8.720528583	-1.840670871	2.262352575
DMNS:Mamm:4319	39.224717	-105.973322	9.12051427	-1.751086765	1.223159574
DMNS:Mamm:5676	39.37722	-105.8	-1.426150832	-0.064910222	-3.168083983
DMNS:Mamm:5677	39.37722	-105.8	1.802565934	-0.042356657	-0.9742616
DMNS:Mamm:5678	39.37722	-105.8	3.18617864	1.305403599	0.494998683
DMNS:Mamm:5679	39.37722	-105.8	0.025697408	1.998888166	-0.197071661
DMNS:Mamm:5680	39.37722	-105.8	-1.195421611	1.82580765	-0.112236746
DMNS:Mamm:5681	39.37722	-105.8	-1.651377916	1.824464494	-1.849911701
DMNS:Mamm:5682	39.37722	-105.8	0.73405958	0.356753621	-1.14717121
DMNS:Mamm:5736	40.16722	-105.10139	-3.746384097	-1.317250799	0.432286599
