gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	recordedByID	identifiedByID
2580197704																										40063355										CC_BY_NC_4_0			2020-03-16T17:03:01Z			https://www.inaturalist.org/observations/40063355				© karrin some rights reserved	karrin												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/40063355	40063355		karrin																												2020-03-13T14:31:00Z	20:31:00Z			2020	3	13	2020/03/13 2:31 PM MDT															CA	Alberta				Haysboro, Calgary, AB, Canada							50.970009	-114.086095	1483.0																																90588259				2020-03-16T03:02:33Z				43145								Lepus townsendii Bachman, 1839								Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus		townsendii		SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2020-03-30T20:24:45.182Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	StillImage	true	false	2436705	2436705	1	44	359	785	9379	2436691		2436705	Lepus townsendii	Lepus	Lepus townsendii Bachman, 1839			DWC_ARCHIVE	2020-03-30T20:24:45.182Z	2020-03-30T18:57:17.622Z	true			
2580136272																										39982574										CC_BY_NC_4_0			2020-03-16T13:31:35Z			https://www.inaturalist.org/observations/39982574				© joewhittaker some rights reserved	joewhittaker												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/39982574	39982574		joewhittaker																Roadkill in Fargo. Not much habitat near by.												2020-03-14T14:14:35Z	14:14:35Z			2020	3	14	Sat Mar 14 2020 14:14:35 GMT-0500 (CDT)															US	North Dakota				45th St S, Fargo, ND, US							46.858729	-96.861474	5.0																																90390706				2020-03-14T19:15:32Z				43145								Lepus townsendii Bachman, 1839								Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus		townsendii		SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2020-03-30T20:24:04.222Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	StillImage	true	false	2436705	2436705	1	44	359	785	9379	2436691		2436705	Lepus townsendii	Lepus	Lepus townsendii Bachman, 1839			DWC_ARCHIVE	2020-03-30T20:24:04.222Z	2020-03-30T18:57:17.622Z	false			
2580120654																										40134868										CC_BY_NC_4_0			2020-03-18T14:03:49Z			https://www.inaturalist.org/observations/40134868				© johnkrampl some rights reserved	johnkrampl												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/40134868	40134868		johnkrampl																Jack rabbit on the side of the road on the drive down the coulee to Alexander Wilderness Park												2020-03-08T12:44:00Z	22:44:00Z			2020	3	8	2020/03/08 12:44 PM HST															CA	Alberta				North Lethbridge, Lethbridge, AB, Canada							49.738386	-112.845618	309.0																																90886199				2020-03-18T14:03:49Z				43145								Lepus townsendii Bachman, 1839								Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus		townsendii		SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2020-03-30T20:24:44.403Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	StillImage	true	false	2436705	2436705	1	44	359	785	9379	2436691		2436705	Lepus townsendii	Lepus	Lepus townsendii Bachman, 1839			DWC_ARCHIVE	2020-03-30T20:24:44.403Z	2020-03-30T18:57:17.622Z	true			
2580108869																										40208246										CC_BY_NC_4_0			2020-03-20T01:01:04Z			https://www.inaturalist.org/observations/40208246				© Tawnee Dupuis some rights reserved	Tawnee Dupuis												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/40208246	40208246		Tawnee Dupuis																												2020-03-18T16:31:47Z	22:31:47Z			2020	3	18	Wed Mar 18 2020 16:31:47 GMT-0600 (MDT)															CA	Alberta				University of Alberta, Edmonton, AB, CA							53.52663	-113.521697	48.0																																90961359				2020-03-18T23:18:41Z				43145								Lepus townsendii Bachman, 1839								Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus		townsendii		SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2020-03-30T20:24:38.998Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	StillImage	true	false	2436705	2436705	1	44	359	785	9379	2436691		2436705	Lepus townsendii	Lepus	Lepus townsendii Bachman, 1839			DWC_ARCHIVE	2020-03-30T20:24:38.998Z	2020-03-30T18:57:17.622Z	true			
2580090152																										39942701										CC_BY_NC_4_0			2020-03-15T23:47:21Z			https://www.inaturalist.org/observations/39942701				© Brian Johnson some rights reserved	Brian Johnson												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/39942701	39942701		Brian Johnson																White-tailed Jakcrabit, Rosser Area												2020-03-05T07:32:00Z	14:32:00Z			2020	3	5	2020/03/05 7:32 AM MST															CA	Manitoba				Division No. 14, MB R0C, Canada							49.98833	-97.207873	61.0																																90298183				2020-03-13T22:26:40Z				43145								Lepus townsendii Bachman, 1839								Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus		townsendii		SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2020-03-30T20:24:04.624Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	StillImage	true	false	2436705	2436705	1	44	359	785	9379	2436691		2436705	Lepus townsendii	Lepus	Lepus townsendii Bachman, 1839			DWC_ARCHIVE	2020-03-30T20:24:04.624Z	2020-03-30T18:57:17.622Z	true			
2579267423																										39826236										CC_BY_NC_4_0			2020-03-11T03:59:13Z			https://www.inaturalist.org/observations/39826236				© vikkibee some rights reserved	vikkibee												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/39826236	39826236		vikkibee																												2020-03-10T17:47:19Z	23:47:19Z			2020	3	10	Tue Mar 10 2020 17:47:19 GMT-0600 (MDT)															CA	Alberta				Scotia Landng NW, Calgary, AB, CA							51.124203	-114.213088	6.0																																89995044				2020-03-11T02:51:48Z				43145								Lepus townsendii Bachman, 1839								Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus		townsendii		SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2020-03-30T20:24:39.526Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	StillImage	true	false	2436705	2436705	1	44	359	785	9379	2436691		2436705	Lepus townsendii	Lepus	Lepus townsendii Bachman, 1839			DWC_ARCHIVE	2020-03-30T20:24:39.526Z	2020-03-30T18:57:17.622Z	true			
2579223401																										39822680										CC_BY_NC_4_0			2020-03-11T05:23:52Z			https://www.inaturalist.org/observations/39822680				© Blake Weis some rights reserved	Blake Weis												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/39822680	39822680		Blake Weis																												2020-03-10T16:10:00Z	22:10:00Z			2020	3	10	2020/03/10 4:10 PM MDT															CA	Alberta				Inglewood, Calgary, AB, Canada							51.040688	-114.015967	102.0																																89987018				2020-03-11T01:20:14Z				43145								Lepus townsendii Bachman, 1839								Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus		townsendii		SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2020-03-30T20:24:11.595Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	StillImage	true	false	2436705	2436705	1	44	359	785	9379	2436691		2436705	Lepus townsendii	Lepus	Lepus townsendii Bachman, 1839			DWC_ARCHIVE	2020-03-30T20:24:11.595Z	2020-03-30T18:57:17.622Z	true			
2576399885																										39497727										CC_BY_NC_4_0			2020-03-04T14:16:08Z			https://www.inaturalist.org/observations/39497727				© joewhittaker some rights reserved	joewhittaker												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/39497727	39497727		joewhittaker																												2020-03-03T12:21:47Z	12:21:47Z			2020	3	3	Tue Mar 03 2020 12:21:47 GMT-0600 (CST)															US	North Dakota				13th Ave N, Fargo, ND, US							46.893368	-96.877911	5.0																																89158547				2020-03-03T18:21:59Z				43145								Lepus townsendii Bachman, 1839								Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus		townsendii		SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2020-03-30T20:24:35.438Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	StillImage	true	false	2436705	2436705	1	44	359	785	9379	2436691		2436705	Lepus townsendii	Lepus	Lepus townsendii Bachman, 1839			DWC_ARCHIVE	2020-03-30T20:24:35.438Z	2020-03-30T18:57:17.622Z	false			
2576370169																										39233160										CC_BY_NC_4_0			2020-02-26T20:43:22Z			https://www.inaturalist.org/observations/39233160				© gracei1472 some rights reserved	gracei1472												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/39233160	39233160		gracei1472																												2019-11-23T22:06:00Z	05:06:00Z			2019	11	23	2019/11/23 10:06 PM MST															CA	Alberta				Southeast Edmonton, Edmonton, AB, Canada							53.50929	-113.472298	3906.0																																88439416				2020-02-26T05:15:26Z				43145								Lepus townsendii Bachman, 1839								Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus		townsendii		SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2020-03-30T20:23:57.344Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	StillImage	true	false	2436705	2436705	1	44	359	785	9379	2436691		2436705	Lepus townsendii	Lepus	Lepus townsendii Bachman, 1839			DWC_ARCHIVE	2020-03-30T20:23:57.344Z	2020-03-30T18:57:17.622Z	true			
2576326665																										39498047										CC_BY_NC_4_0			2020-03-04T14:16:24Z			https://www.inaturalist.org/observations/39498047				© joewhittaker some rights reserved	joewhittaker												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/39498047	39498047		joewhittaker																												2020-03-03T12:31:51Z	12:31:51Z			2020	3	3	Tue Mar 03 2020 12:31:51 GMT-0600 (CST)															US	North Dakota				14th Ave N, Fargo, ND, US							46.893709	-96.876448	5.0																																89159448				2020-03-03T18:32:10Z				43145								Lepus townsendii Bachman, 1839								Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus		townsendii		SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2020-03-30T20:24:43.538Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	StillImage	true	false	2436705	2436705	1	44	359	785	9379	2436691		2436705	Lepus townsendii	Lepus	Lepus townsendii Bachman, 1839			DWC_ARCHIVE	2020-03-30T20:24:43.538Z	2020-03-30T18:57:17.622Z	false			
