gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedMedia	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	recordedByID	identifiedByID
2580197704																										40063355										http://creativecommons.org/licenses/by-nc/4.0/			2020-03-16T17:03:01Z			https://www.inaturalist.org/observations/40063355				© karrin some rights reserved	karrin												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/40063355	40063355		karrin								wild																					2020-03-13T14:31:00-06:00	20:31:00Z						2020/03/13 2:31 PM MDT																CA	Alberta				Haysboro, Calgary, AB, Canada											50.9700093	-114.086095		1483																																			90588259				2020-03-16T03:02:33Z				43145								Lepus townsendii								Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus				species									
2580136272																										39982574										http://creativecommons.org/licenses/by-nc/4.0/			2020-03-16T13:31:35Z			https://www.inaturalist.org/observations/39982574				© joewhittaker some rights reserved	joewhittaker												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/39982574	39982574		joewhittaker								wild									Roadkill in Fargo. Not much habitat near by.												2020-03-14T14:14:35Z	14:14:35Z						Sat Mar 14 2020 14:14:35 GMT-0500 (CDT)																US	North Dakota				45th St S, Fargo, ND, US											46.8587289378	-96.8614737132		5																																			90390706				2020-03-14T19:15:32Z				43145								Lepus townsendii								Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus				species									
2580120654																										40134868										http://creativecommons.org/licenses/by-nc/4.0/			2020-03-18T14:03:49Z			https://www.inaturalist.org/observations/40134868				© johnkrampl some rights reserved	johnkrampl												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/40134868	40134868		johnkrampl								wild									Jack rabbit on the side of the road on the drive down the coulee to Alexander Wilderness Park												2020-03-08T12:44:00-10:00	22:44:00Z						2020/03/08 12:44 PM HST																CA	Alberta				North Lethbridge, Lethbridge, AB, Canada											49.7383861981	-112.8456181728		309																																			90886199				2020-03-18T14:03:49Z				43145								Lepus townsendii								Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus				species									
2580108869																										40208246										http://creativecommons.org/licenses/by-nc/4.0/			2020-03-20T01:01:04Z			https://www.inaturalist.org/observations/40208246				© Tawnee Dupuis some rights reserved	Tawnee Dupuis												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/40208246	40208246		Tawnee Dupuis								wild																					2020-03-18T16:31:47-06:00	22:31:47Z						Wed Mar 18 2020 16:31:47 GMT-0600 (MDT)																CA	Alberta				University of Alberta, Edmonton, AB, CA											53.52663	-113.52169667		48																																			90961359				2020-03-18T23:18:41Z				43145								Lepus townsendii								Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus				species									
2580090152																										39942701										http://creativecommons.org/licenses/by-nc/4.0/			2020-03-15T23:47:21Z			https://www.inaturalist.org/observations/39942701				© Brian Johnson some rights reserved	Brian Johnson												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/39942701	39942701		Brian Johnson								wild									White-tailed Jakcrabit, Rosser Area												2020-03-05T07:32:00-07:00	14:32:00Z						2020/03/05 7:32 AM MST																CA	Manitoba				Division No. 14, MB R0C, Canada											49.9883299987	-97.2078731802		61																																			90298183				2020-03-13T22:26:40Z				43145								Lepus townsendii								Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus				species									
2579267423																										39826236										http://creativecommons.org/licenses/by-nc/4.0/			2020-03-11T03:59:13Z			https://www.inaturalist.org/observations/39826236				© vikkibee some rights reserved	vikkibee												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/39826236	39826236		vikkibee								wild																					2020-03-10T17:47:19-06:00	23:47:19Z						Tue Mar 10 2020 17:47:19 GMT-0600 (MDT)																CA	Alberta				Scotia Landng NW, Calgary, AB, CA											51.12420283	-114.21308833		6																																			89995044				2020-03-11T02:51:48Z				43145								Lepus townsendii								Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus				species									
2579223401																										39822680										http://creativecommons.org/licenses/by-nc/4.0/			2020-03-11T05:23:52Z			https://www.inaturalist.org/observations/39822680				© Blake Weis some rights reserved	Blake Weis												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/39822680	39822680		Blake Weis								wild																					2020-03-10T16:10:00-06:00	22:10:00Z						2020/03/10 4:10 PM MDT																CA	Alberta				Inglewood, Calgary, AB, Canada											51.0406883618	-114.0159672188		102																																			89987018				2020-03-11T01:20:14Z				43145								Lepus townsendii								Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus				species									
2576399885																										39497727										http://creativecommons.org/licenses/by-nc/4.0/			2020-03-04T14:16:08Z			https://www.inaturalist.org/observations/39497727				© joewhittaker some rights reserved	joewhittaker												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/39497727	39497727		joewhittaker								wild																					2020-03-03T12:21:47Z	12:21:47Z						Tue Mar 03 2020 12:21:47 GMT-0600 (CST)																US	North Dakota				13th Ave N, Fargo, ND, US											46.8933677813	-96.877911212		5																																			89158547				2020-03-03T18:21:59Z				43145								Lepus townsendii								Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus				species									
2576370169																										39233160										http://creativecommons.org/licenses/by-nc/4.0/			2020-02-26T20:43:22Z			https://www.inaturalist.org/observations/39233160				© gracei1472 some rights reserved	gracei1472												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/39233160	39233160		gracei1472								wild																					2019-11-23T22:06:00-07:00	05:06:00Z						2019/11/23 10:06 PM MST																CA	Alberta				Southeast Edmonton, Edmonton, AB, Canada											53.5092895832	-113.4722982694		3906																																			88439416				2020-02-26T05:15:26Z				43145								Lepus townsendii								Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus				species									
2576326665																										39498047										http://creativecommons.org/licenses/by-nc/4.0/			2020-03-04T14:16:24Z			https://www.inaturalist.org/observations/39498047				© joewhittaker some rights reserved	joewhittaker												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/39498047	39498047		joewhittaker								wild																					2020-03-03T12:31:51Z	12:31:51Z						Tue Mar 03 2020 12:31:51 GMT-0600 (CST)																US	North Dakota				14th Ave N, Fargo, ND, US											46.8937089248	-96.8764477317		5																																			89159448				2020-03-03T18:32:10Z				43145								Lepus townsendii								Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus				species									
2576316661																										39496934										http://creativecommons.org/licenses/by-nc/4.0/			2020-03-04T14:16:35Z			https://www.inaturalist.org/observations/39496934				© joewhittaker some rights reserved	joewhittaker												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/39496934	39496934		joewhittaker								wild																					2020-03-03T12:01:42Z	12:01:42Z						Tue Mar 03 2020 12:01:42 GMT-0600 (CST)																US	North Dakota				13th Ave N, Fargo, ND, US											46.8934448949	-96.8794893567		5																																			89156642				2020-03-03T18:02:00Z				43145								Lepus townsendii								Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus				species									
2576293553																										39263227										http://creativecommons.org/licenses/by-nc/4.0/			2020-02-27T15:20:38Z			https://www.inaturalist.org/observations/39263227				© Clayton D'Orsay some rights reserved	Clayton D'Orsay												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/39263227	39263227		Clayton D'Orsay								wild									Two hare in a development lot; shot zoomed in from 6th floor across the street... best I could get.												2020-02-26T18:27:28-07:00	01:27:28Z						Wed Feb 26 2020 18:27:28 GMT-0700 (MST)																CA	Alberta				6 Ave SE, Calgary, AB, CA											51.04730283	-114.04940833		65																																			88574659				2020-02-27T15:20:38Z				43145								Lepus townsendii								Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus				species									
2576293285																										38740255										http://creativecommons.org/licenses/by-nc/4.0/			2020-03-03T18:53:39Z			https://www.inaturalist.org/observations/38740255				© m_weiss some rights reserved	m_weiss												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/38740255	38740255		m_weiss								wild																					2020-02-16T18:17:00-06:00	00:17:00Z						2020/02/16 6:17 PM CST																CA	Saskatchewan				Regina, SK, Canada											50.4286369117	-104.6148120008		20																																			87236901				2020-02-17T03:50:07Z				43145								Lepus townsendii								Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus				species									
2576280432																										39268314										http://creativecommons.org/licenses/by-nc/4.0/			2020-02-27T22:39:57Z			https://www.inaturalist.org/observations/39268314				© elvapaulson some rights reserved	elvapaulson												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/39268314	39268314		elvapaulson								wild																					2015-05-12T09:44:00-07:00	16:44:00Z						2015/05/12 9:44 AM PDT																US	Wyoming				Park County, WY, USA											44.9677160894	-110.707951942		61																																			88538988				2020-02-27T04:22:35Z				43145								Lepus townsendii								Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus				species									
2576254540																										39294801										http://creativecommons.org/licenses/by-nc/4.0/			2020-02-27T23:15:11Z			https://www.inaturalist.org/observations/39294801				© Nick Belliveau some rights reserved	Nick Belliveau												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/39294801	39294801		Nick Belliveau								wild																					2020-02-27T14:44:00-04:00	18:44:00Z						2020/02/27 2:44 PM AST																CA	Saskatchewan				University of Saskatchewan - Management Area, Saskatoon, SK S7N, Canada											52.1371233101	-106.6304077476		61																																			88618369				2020-02-27T22:45:17Z				43145								Lepus townsendii								Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus				species									
2574249419																										38404872										http://creativecommons.org/licenses/by-nc/4.0/			2020-02-08T19:14:27Z			https://www.inaturalist.org/observations/38404872				© Larry Halverson some rights reserved	Larry Halverson												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/38404872	38404872		Larry Halverson								wild									Some colour match with the leaves												2016-11-12T11:25:00-07:00	18:25:00Z						2016/11/12 11:25 AM MST																CA	Alberta				Shawnessy, Calgary, AB T2Y, Canada											50.9075113527	-114.0780552322		4																																			86270711				2020-02-07T23:38:32Z				43145								Lepus townsendii								Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus				species									
2574185083																										39132225										http://creativecommons.org/licenses/by-nc/4.0/			2020-02-25T05:41:50Z			https://www.inaturalist.org/observations/39132225				© br00t some rights reserved	br00t												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/39132225	39132225		br00t								wild																					2019-09-11T22:59:11-04:00	02:59:11Z						2019-09-11 10:59:11 PM EDT																CA	Alberta				Coopers Crossing											51.2677528751	-114.0178500116		2104																																			88325613				2020-02-25T05:41:50Z				43145								Lepus townsendii								Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus				species									
2574111701																										38940379										http://creativecommons.org/licenses/by-nc/4.0/			2020-02-25T22:42:43Z			https://www.inaturalist.org/observations/38940379				© naturalist_tam some rights reserved	naturalist_tam												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/38940379	38940379		naturalist_tam								wild																					2019-01-28T21:46:39-05:00	02:46:39Z						2019-01-28T21:46:39-05:00																CA	Alberta				Rocky View No. 44											51.4720237525	-114.0536868892																																					87781671				2020-02-21T06:02:11Z				43145								Lepus townsendii								Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus				species									
2574105024																										39120145										http://creativecommons.org/licenses/by-nc/4.0/			2020-02-23T23:06:10Z			https://www.inaturalist.org/observations/39120145				© juliankoroluk some rights reserved	juliankoroluk												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/39120145	39120145		juliankoroluk								wild																					2020-02-01T22:38:00-07:00	05:38:00Z						2020/02/01 10:38 PM MST																CA	Alberta				Oliver, Edmonton, AB, Canada											53.5446144205	-113.5118778967		2																																			88147685				2020-02-23T22:55:18Z				43145								Lepus townsendii								Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus				species									
2574087834																										38209132										http://creativecommons.org/licenses/by-nc/4.0/			2020-02-04T20:04:40Z			https://www.inaturalist.org/observations/38209132				© cassieoddie some rights reserved	cassieoddie												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/38209132	38209132		cassieoddie								wild																					2020-02-01T22:42:28-07:00	05:42:28Z						Sat Feb 01 2020 22:42:28 GMT-0700 (MST)																CA	Alberta				Ironside St, Red Deer, AB, CA											52.2348153864	-113.7884730437		48																																			85940488				2020-02-04T20:04:40Z				43145								Lepus townsendii								Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus				species									
2574018662																										38169683										http://creativecommons.org/licenses/by-nc/4.0/			2020-02-01T16:00:40Z			https://www.inaturalist.org/observations/38169683				© Sarah Vermaak some rights reserved	Sarah Vermaak												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/38169683	38169683		Sarah Vermaak								wild									University of Calgary Campus												2020-01-31T17:14:58-07:00	00:14:58Z						2020-01-31 5:14:58 PM MST																CA	Alberta				Calgary, AB T2N 4V8, Canada											51.0775756836	-114.1247253418																																					85555148				2020-02-01T04:40:13Z				43145								Lepus townsendii								Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus				species									
2573948700																										38919012										http://creativecommons.org/licenses/by-nc/4.0/			2020-03-02T17:57:06Z			https://www.inaturalist.org/observations/38919012				© Chris Hinz some rights reserved	Chris Hinz												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/38919012	38919012		Chris Hinz								wild																					2020-02-19T14:28:31-07:00	21:28:31Z						2020-02-19 2:28:31 PM MST																CA	Alberta				Airdrie, AB T4B 2K2, Canada											51.2962989807	-114.0267333984																																					89044969				2020-03-02T17:57:06Z				43145								Lepus townsendii								Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus				species									
2573915328																										38404680										http://creativecommons.org/licenses/by-nc/4.0/			2020-02-08T19:14:31Z			https://www.inaturalist.org/observations/38404680				© Larry Halverson some rights reserved	Larry Halverson												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/38404680	38404680		Larry Halverson								wild									It is tough being white when the is no snow cover												2016-11-12T11:23:00-07:00	18:23:00Z						2016/11/12 11:23 AM MST																CA	Alberta				Shawnessy, Calgary, AB T2Y, Canada											50.9075221469	-114.0778544005		2																																			86270111				2020-02-07T23:31:06Z				43145								Lepus townsendii								Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus				species									
2573877680																										38942885										http://creativecommons.org/licenses/by-nc/4.0/			2020-02-21T22:56:27Z			https://www.inaturalist.org/observations/38942885				© cassieoddie some rights reserved	cassieoddie												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/38942885	38942885		cassieoddie								wild																					2020-02-20T18:12:47-07:00	01:12:47Z						Thu Feb 20 2020 18:12:47 GMT-0700 (MST)																CA	Alberta				Ironside St, Red Deer, AB, CA											52.2349738366	-113.7885445656		65																																			87899665				2020-02-21T22:56:27Z				43145								Lepus townsendii								Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus				species									
2573781350																										12753339										http://creativecommons.org/publicdomain/zero/1.0/			2018-12-24T13:00:52Z			https://www.inaturalist.org/observations/12753339				By Brian Starzomski no rights reserved	Brian Starzomski												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/12753339	12753339		Brian Starzomski								wild																					2018-05-23T13:08:00-07:00	20:08:00Z						2018/05/23 1:08 PM PDT																CA	Saskatchewan				Division No. 4, SK S0N, Canada											49.588832044	-108.8258886337		208																																			27792893				2018-05-23T23:04:01Z				43145								Lepus townsendii								Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus				species									
