Sample	Lat	Long
D3132	39.74528	-104.60694
D3133	39.74528	-104.60694
D3134	39.74528	-104.60694
D3135	40.000424	-102.424207
D3168	38.94278	-103.27861
D3182	39.73833	-104.32278
D4070	39.73833	-104.32278
D4086	39.75889	-104.42694
D4087	39.75889	-104.42694
D4089	39.75889	-104.42694
D1704	37.82608	-105.97291
D5680	39.37722	-105.8
D5681	39.37722	-105.8
D5682	39.37722	-105.8
B1194	39.3472	-104.46441
B7879	38.83388	-104.82136
B7888	38.15999	-108.3748
B7892	38.2486	-105.94865
D1179	40.85889	-102.80056
D1705	37.82608	-105.97291
D1776	37.82608	-105.97291
D5677	39.37722	-105.8
D3112	37.213694	-106.206714
D3114	40.89861	-104.79611
D3115	40.89861	-104.79611
D3122	40.89861	-104.79611
D5676	39.37722	-105.8
D1679	39.37222	-104.85556
D1774	37.82608	-105.97291
D1775	37.82608	-105.97291
D3128	40.458016	-104.463495
D3129	38.813537	-106.212725
D3138	38.424606	-105.605838
D4088	39.75889	-104.42694
D5736	40.16722	-105.10139
D18799	38.214407	-106.803501
D18800	38.217468	-106.802481
D18801	38.5111792	-106.8296629
D18802	38.2186642	-106.8019956
D18803	38.02418397	-106.203628
D18804	38.28215699	-106.730425
D18805	38.19048696	-106.830978
D18806	38.19274798	-106.738822
D18807	38.19517597	-106.737307
D18808	37.97913602	-106.180122
D18790	38.22816697	-106.763816
D16612	39.856113	-104.675143
D18791	38.21743998	-106.775866
D18792	38.190879	-106.698123
D18793	38.02830401	-106.207744
D18794	38.49870002	-106.849692
D18795	38.500341	-106.849362
D18796	38.50924999	-106.83825
D18797	38.21527401	-106.780597
D18798	38.22767202	-106.81201
D2245	40.49194	-107.25694
D3109	39.145279	-105.719876
D3120	40.5625	-106.44389
D3141	38.05664	-105.363324
D3146	40.121652	-106.183636
D3163	40.618518	-108.201547
D4312	39.628165	-106.044153
D4313	39.628165	-106.044153
D4319	39.224717	-105.973322
D5678	39.37722	-105.8
D5679	39.37722	-105.8
U23776	38.209874	-106.81421
U23777	38.188317	-106.681117
U23778	38.209874	-106.81421
U23779	38.209874	-106.81421
U23784	38.19943	-106.826945
U23790	38.209874	-106.81421
U23805	38.188317	-106.681117
A123030	37.33468	-107.94386
