type	modified	license	rightsholder	accessrights	bibliographiccitation	references	institutionid	collectionid	datasetid	institutioncode	collectioncode	datasetname	basisofrecord	informationwithheld	datageneralizations	dynamicproperties	occurrenceid	catalognumber	recordnumber	recordedby	individualcount	sex	lifestage	reproductivecondition	behavior	establishmentmeans	occurrencestatus	preparations	disposition	associatedmedia	associatedreferences	associatedsequences	associatedtaxa	othercatalognumbers	occurrenceremarks	organismid	organismname	organismscope	associatedoccurrences	associatedorganisms	previousidentifications	organismremarks	materialsampleid	eventid	fieldnumber	eventdate	eventtime	startdayofyear	enddayofyear	year	month	day	verbatimeventdate	habitat	samplingprotocol	samplingeffort	fieldnotes	eventremarks	locationid	highergeographyid	highergeography	continent	waterbody	islandgroup	island	country	countrycode	stateprovince	county	municipality	locality	verbatimlocality	minimumelevationinmeters	maximumelevationinmeters	verbatimelevation	minimumdepthinmeters	maximumdepthinmeters	verbatimdepth	minimumdistanceabovesurfaceinmeters	maximumdistanceabovesurfaceinmeters	locationaccordingto	locationremarks	decimallatitude	decimallongitude	geodeticdatum	coordinateuncertaintyinmeters	coordinateprecision	verbatimcoordinates	verbatimlatitude	verbatimlongitude	verbatimcoordinatesystem	verbatimsrs	footprintwkt	footprintsrs	georeferencedby	georeferenceddate	georeferenceprotocol	georeferencesources	georeferenceverificationstatus	georeferenceremarks	geologicalcontextid	earliesteonorlowesteonothem	latesteonorhighesteonothem	earliesteraorlowesterathem	latesteraorhighesterathem	earliestperiodorlowestsystem	latestperiodorhighestsystem	earliestepochorlowestseries	latestepochorhighestseries	earliestageorloweststage	latestageorhigheststage	lowestbiostratigraphiczone	highestbiostratigraphiczone	lithostratigraphicterms	group	formation	member	bed	identificationid	identificationqualifier	typestatus	identifiedby	dateidentified	identificationreferences	identificationverificationstatus	identificationremarks	scientificnameid	namepublishedinid	scientificname	acceptednameusage	originalnameusage	namepublishedin	namepublishedinyear	higherclassification	kingdom	phylum	class	order	family	genus	subgenus	specificepithet	infraspecificepithet	taxonrank	verbatimtaxonrank	scientificnameauthorship	vernacularname	nomenclaturalcode	taxonomicstatus	taxonremarks	lengthinmm	lengthtype	lengthunitsinferred	massing	massunitsinferred	underivedlifestage	underivedsex	dataset_url	dataset_citation	gbifdatasetid	gbifpublisherid	dataset_contact_email	dataset_contact	dataset_pubdate	lastindexed	migrator_version	hasmedia	hastissue	wascaptive	isfossil	isarch	vntype	haslength
PhysicalObject		CC0			California Academy of Sciences. CAS Mammalogy (MAM). Record ID: urn:catalog:CAS:MAM:10008. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=mam (source published on 2019-07-23)	http://portal.vertnet.org/o/cas/mam?id=urn-catalog-cas-mam-10008				CAS	MAM		PreservedSpecimen				urn:catalog:CAS:MAM:10008	10008		G. D. Hanna								SK																		1951-06-03		154	154	1951	6	3	3 Jun 1951								North America; USA; California; Mono Co.	North America				USA		California	Mono Co.		White Mountains				12700 ft.								37.6339700000	-118.2544800000	NAD27	22531			37.6339700000	-118.2544880000					Tamrya D. d'Artenay	2002-10-28	not recorded	TopoScout 2.04 USGS 1:24,000	unverified																														Lepus townsendii townsendii					Animalia; Chordata; Mammalia; Lagomorpha; Leporidae	Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus		townsendii	townsendii																California Academy of Sciences. CAS Mammalogy (MAM). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=mam (source published on 2019-07-23)	6ce7290f-47f6-4046-8356-371f5b6749df	66522820-055c-11d8-b84e-b8a03c50a862	mflannery@calacademy.org	Maureen Flannery	2019-07-23	2019-08-04	no migrator	0	0	0	0	0	specimen	0
PhysicalObject		CC0			California Academy of Sciences. CAS Mammalogy (MAM). Record ID: urn:catalog:CAS:MAM:13352. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=mam (source published on 2019-07-23)	http://portal.vertnet.org/o/cas/mam?id=urn-catalog-cas-mam-13352				CAS	MAM		PreservedSpecimen				urn:catalog:CAS:MAM:13352	13352	285	V. Pratt		female						SL																		1959-10-01		274	274	1959	10	1	Oct 1959								North America; USA; California; Modoc Co.	North America				USA		California	Modoc Co.		Warner Mountains												41.5930300000	-120.2315200000	NAD27	44487			41.5930301000	-120.2315284000					Nitin Bhasin	2002-07-24	MaNIS georeferencing guidelines	Terrain Navigator 3.02 USGS 1:24,000	unverified																														Lepus townsendii townsendii					Animalia; Chordata; Mammalia; Lagomorpha; Leporidae	Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus		townsendii	townsendii														F		California Academy of Sciences. CAS Mammalogy (MAM). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=mam (source published on 2019-07-23)	6ce7290f-47f6-4046-8356-371f5b6749df	66522820-055c-11d8-b84e-b8a03c50a862	mflannery@calacademy.org	Maureen Flannery	2019-07-23	2019-08-04	no migrator	0	0	0	0	0	specimen	0
PhysicalObject		CC0			California Academy of Sciences. CAS Mammalogy (MAM). Record ID: urn:catalog:CAS:MAM:17469. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=mam (source published on 2019-07-23)	http://portal.vertnet.org/o/cas/mam?id=urn-catalog-cas-mam-17469				CAS	MAM		PreservedSpecimen				urn:catalog:CAS:MAM:17469	17469		A. Forrer		male						SSS						SU 1701												1894-10-16		289	289	1894	10	16	16 Oct 1894								North America; USA; Oregon; Klamath Co.	North America				USA		Oregon	Klamath Co.		Upper Klamath Lake												42.3983000000	-121.8814000000	NAD27	19327			42.3983000000	-121.8814000000					Gary W. Shugart	2002-07-02	MaNIS georeferencing guidelines	GNIS downloaded Feb 2002	unverified																														Lepus townsendii townsendii					Animalia; Chordata; Mammalia; Lagomorpha; Leporidae	Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus		townsendii	townsendii														M		California Academy of Sciences. CAS Mammalogy (MAM). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=mam (source published on 2019-07-23)	6ce7290f-47f6-4046-8356-371f5b6749df	66522820-055c-11d8-b84e-b8a03c50a862	mflannery@calacademy.org	Maureen Flannery	2019-07-23	2019-08-04	no migrator	0	0	0	0	0	specimen	0
PhysicalObject		CC0			California Academy of Sciences. CAS Mammalogy (MAM). Record ID: urn:catalog:CAS:MAM:5561. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=mam (source published on 2019-07-23)	http://portal.vertnet.org/o/cas/mam?id=urn-catalog-cas-mam-5561				CAS	MAM		PreservedSpecimen				urn:catalog:CAS:MAM:5561	5561	43	P. F. Covel		female						SS																		1926-09-19		262	262	1926	9	19	19 Sep 1926								North America; USA; California; Modoc Co.	North America				USA		California	Modoc Co.		Eagleville												41.3210100000	-120.1162200000	NAD27	698			41.3210161000	-120.1162218000					Nitin Bhasin	2002-07-24	MaNIS georeferencing guidelines	Terrain Navigator 3.02 USGS 1:24,000	unverified																														Lepus townsendii townsendii					Animalia; Chordata; Mammalia; Lagomorpha; Leporidae	Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus		townsendii	townsendii														F		California Academy of Sciences. CAS Mammalogy (MAM). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=mam (source published on 2019-07-23)	6ce7290f-47f6-4046-8356-371f5b6749df	66522820-055c-11d8-b84e-b8a03c50a862	mflannery@calacademy.org	Maureen Flannery	2019-07-23	2019-08-04	no migrator	0	0	0	0	0	specimen	0
PhysicalObject		CC0			California Academy of Sciences. CAS Mammalogy (MAM). Record ID: urn:catalog:CAS:MAM:9746. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=mam (source published on 2019-07-23)	http://portal.vertnet.org/o/cas/mam?id=urn-catalog-cas-mam-9746				CAS	MAM		PreservedSpecimen				urn:catalog:CAS:MAM:9746	9746	18	K. Woodwick		male						SK																		1949-03-31		90	90	1949	3	31	31 Mar 1949								North America; USA; North Dakota; Adams Co.	North America				USA		North Dakota	Adams Co.		Hettinger												46.0001000000	-102.6331000000	NAD27	830			46.0001000000	-102.6331000000					Paul Hinshaw	2002-11-05	MaNIS georeferencing guidelines	Topozone.com	unverified																														Lepus townsendii campanius					Animalia; Chordata; Mammalia; Lagomorpha; Leporidae	Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus		townsendii	campanius														M		California Academy of Sciences. CAS Mammalogy (MAM). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=mam (source published on 2019-07-23)	6ce7290f-47f6-4046-8356-371f5b6749df	66522820-055c-11d8-b84e-b8a03c50a862	mflannery@calacademy.org	Maureen Flannery	2019-07-23	2019-08-04	no migrator	0	0	0	0	0	specimen	0
PhysicalObject	2019-08-24 17:46:29.0	http://creativecommons.org/publicdomain/zero/1.0/		http://vertnet.org/resources/norms.html	Chicago Academy of Sciences. CHAS Mammalogy Collection (Arctos). Record ID: http://arctos.database.museum/guid/CHAS:Mamm:3515?seid=3087237. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=chas_mammals (source published on 2019-07-07)	http://arctos.database.museum/guid/CHAS:Mamm:3515	CHAS	113		CHAS	Mammal specimens		PreservedSpecimen	mask part attribute location		verbatim collector=W.C. Thietje ; sex=male ; unformatted measurements=TL: 630, T: 124, HF: 155 ; total length=630 mm; tail length=124 mm; hind foot with claw=155 mm	http://arctos.database.museum/guid/CHAS:Mamm:3515?seid=3087237	CHAS:Mamm:3515	R-548	Collector(s): Walter C. Thietje; Preparator(s): Roy V. Komarek	1	male						skull; skin, study		http://arctos.database.museum/MediaSearch.cfm?collection_object_id=25767864				UUID=e19ef42f-38c4-4d21-9950-6d9da29f456f; collector number=R-548	"INTERNAL NOTES: Arsenic level 0.75; Collected by listed as "unknown" and received by as "W. Thietje" in Mammal Catalog Book (taped spine), needs to be verified [A. King]. "U of Iowa Mus of NH." DATA HISTORY: Inventory catalogued/verified by Collections staff (2008-2010 inventory). Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2013-11-30). Date listed as entered in original FileMaker database: 1988-05-25."	http://arctos.database.museum/guid/CHAS:Mamm:3515					<i>Lepus townsendii campanius</i> (accepted ID) identified by unknown; method: legacy Remark: White-tailed Jackrabbit.					1934-12-30		364	364	1934	12	30	[transcribed directly into formatted date fields]								North America, United States, South Dakota, Lyman County	North America				United States		South Dakota	Lyman County		Reliance	[transcribed directly into formatted locality fields]									John Keating		43.878881	-99.603164	World Geodetic System 1984	1469		43.878881/-99.603164			decimal degrees				John Keating	2015-07-21	GeoLocate	GEOLocate	unverified																					A		unknown			legacy	White-tailed Jackrabbit.			Lepus townsendii campanius					Animalia; Chordata; Mammalia; Lagomorpha; Leporidae;	Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus		townsendii	campanius	subspecies				ICZN			630	total length	0				male		Chicago Academy of Sciences. CHAS Mammalogy Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=chas_mammals (source published on 2019-07-07)	4837d6b0-19fe-4fe4-9ddf-b62dd17a060e	f2489500-dbab-4fbc-95ed-19eead127483	droberts@naturemuseum.org	Dawn Roberts	2019-07-07	2019-09-21	no migrator	1	0	0	0	0	specimen	1
PhysicalObject	2019-09-10 00:52:20.0	http://creativecommons.org/licenses/by-nc/3.0		http://vertnet.org/resources/norms.html	Denver Museum of Nature & Science. DMNS Mammal Collection (Arctos). Record ID: http://arctos.database.museum/guid/DMNS:Mamm:1138?seid=739333. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=dmns_mamm (source published on 2019-07-07)	http://arctos.database.museum/guid/DMNS:Mamm:1138	DMNS	45		DMNS	Mammal specimens		PreservedSpecimen			sex=male ; total length=573 mm; hind foot with claw=149 mm; ear from notch=80 mm; tail length=79 mm	http://arctos.database.museum/guid/DMNS:Mamm:1138?seid=739333	DMNS:Mamm:1138	HHS28	Collector(s): H. H. Sheldon	1	male						skull; skin, study; skin, study sample						collector number=HHS28		http://arctos.database.museum/guid/DMNS:Mamm:1138					<i>Lepus townsendii campanius</i> (accepted ID) identified by H. H. Sheldon on 1913-08-16; method: field					1913-08-16		228	228	1913	08	16	16 August 1913								North America, United States, Colorado, Jackson County	North America				United States		Colorado	Jackson County		North Park, Higho	North Platte River, North Park, Jackson Co., Colo. <Higho>									unknown	originally Larimer County	40.738656	-106.477674	not recorded	1000									unknown	2012-07-08	GeoLocate	GeoLocate	unverified																					A		H. H. Sheldon	1913-08-16		field				Lepus townsendii campanius					Animalia; Chordata; Mammalia; Lagomorpha; Leporidae;	Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus		townsendii	campanius	subspecies				ICZN			573	total length	0				male		Denver Museum of Nature & Science. DMNS Mammal Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=dmns_mamm (source published on 2019-07-07)	5f3463d2-51b6-4a8a-b252-9bab4388934e	a2ef6dd1-8886-48c9-8025-c62bac973cc7	john.demboski@dmns.org	John Demboski	2019-07-07	2019-09-21	no migrator	0	0	0	0	0	specimen	1
PhysicalObject	2019-09-17 03:00:24.0	http://creativecommons.org/licenses/by-nc/3.0		http://vertnet.org/resources/norms.html	Denver Museum of Nature & Science. DMNS Mammal Collection (Arctos). Record ID: http://arctos.database.museum/guid/DMNS:Mamm:1177?seid=1705004. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=dmns_mamm (source published on 2019-07-07)	http://arctos.database.museum/guid/DMNS:Mamm:1177	DMNS	45		DMNS	Mammal specimens		PreservedSpecimen			sex=male ; total length=555 mm; hind foot with claw=135 mm; tail length=77 mm	http://arctos.database.museum/guid/DMNS:Mamm:1177?seid=1705004	DMNS:Mamm:1177		Collector(s): Jesse D. Figgins	1	male						skull; skin, study								http://arctos.database.museum/guid/DMNS:Mamm:1177					<i>Lepus townsendii campanius</i> (accepted ID) identified by Jesse D. Figgins on 1914-01-11; method: field					1914-01-11		11	11	1914	01	11	11 January 1914					Former verification status: verified by curator.			North America, United States, Colorado, Arapahoe County	North America				United States		Colorado	Arapahoe County		Deer Trail	Deer Trail, Colo.									John R. Demboski		39.615	-104.04389	World Geodetic System 1984	5000		39.615/-104.04389			decimal degrees				John R. Demboski	2011-12-03	GeoLocate	GeoLocate	verified and locked																					A		Jesse D. Figgins	1914-01-11		field				Lepus townsendii campanius					Animalia; Chordata; Mammalia; Lagomorpha; Leporidae;	Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus		townsendii	campanius	subspecies				ICZN			555	total length	0				male		Denver Museum of Nature & Science. DMNS Mammal Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=dmns_mamm (source published on 2019-07-07)	5f3463d2-51b6-4a8a-b252-9bab4388934e	a2ef6dd1-8886-48c9-8025-c62bac973cc7	john.demboski@dmns.org	John Demboski	2019-07-07	2019-09-21	no migrator	0	0	0	0	0	specimen	1
PhysicalObject	2019-09-18 01:15:24.0	http://creativecommons.org/licenses/by-nc/3.0		http://vertnet.org/resources/norms.html	Denver Museum of Nature & Science. DMNS Mammal Collection (Arctos). Record ID: http://arctos.database.museum/guid/DMNS:Mamm:1179?seid=564202. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=dmns_mamm (source published on 2019-07-07)	http://arctos.database.museum/guid/DMNS:Mamm:1179	DMNS	45		DMNS	Mammal specimens		PreservedSpecimen			sex=female ; hind foot with claw=145 mm; total length=630 mm; tail length=105 mm	http://arctos.database.museum/guid/DMNS:Mamm:1179?seid=564202	DMNS:Mamm:1179		Collector(s): Frederick C. Lincoln; Preparator(s): Robert J. Niedrach	1	female						skull; skin, study; skin, study sample								http://arctos.database.museum/guid/DMNS:Mamm:1179					<i>Lepus townsendii campanius</i> (accepted ID) identified by Frederick C. Lincoln on 1914-01-12; method: field					1914-01-12		12	12	1914	01	12	12 January 1914								North America, United States, Colorado, Logan County	North America				United States		Colorado	Logan County		Crook	Crook, Logan Co., Colo.									Meghan L. Truckey		40.85889	-102.80056	World Geodetic System 1984	564		40.85889/-102.80056			decimal degrees				Meghan L. Truckey	2012-06-27	GeoLocate	GeoLocate	unverified																					A	"voucher of <a href="http://arctos.database.museum/name/Lepus townsendii campanius">Lepus townsendii campanius</a> in <a href="http://arctos.database.museum/publication/10008227">Mills et al. 2018</a>"	Frederick C. Lincoln	1914-01-12		field				Lepus townsendii campanius					Animalia; Chordata; Mammalia; Lagomorpha; Leporidae;	Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus		townsendii	campanius	subspecies				ICZN			630	total length	0				female		Denver Museum of Nature & Science. DMNS Mammal Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=dmns_mamm (source published on 2019-07-07)	5f3463d2-51b6-4a8a-b252-9bab4388934e	a2ef6dd1-8886-48c9-8025-c62bac973cc7	john.demboski@dmns.org	John Demboski	2019-07-07	2019-09-21	no migrator	0	0	0	0	0	specimen	1
PhysicalObject	2019-08-22 08:09:59.0	http://creativecommons.org/licenses/by-nc/3.0		http://vertnet.org/resources/norms.html	Denver Museum of Nature & Science. DMNS Mammal Collection (Arctos). Record ID: http://arctos.database.museum/guid/DMNS:Mamm:1430?seid=446229. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=dmns_mamm (source published on 2019-07-07)	http://arctos.database.museum/guid/DMNS:Mamm:1430	DMNS	45		DMNS	Mammal specimens		PreservedSpecimen			sex=female ; hind foot with claw=149 mm; total length=600 mm; tail length=105 mm	http://arctos.database.museum/guid/DMNS:Mamm:1430?seid=446229	DMNS:Mamm:1430	HHS834	Collector(s): H. H. Sheldon	1	female						skull; skin, study; skin, study sample						collector number=HHS834		http://arctos.database.museum/guid/DMNS:Mamm:1430					<i>Lepus townsendii campanius</i> (accepted ID) identified by H. H. Sheldon on 1914-06-19; method: field					1914-06-19		170	170	1914	06	19	19 June 1914								North America, United States, Colorado, Jackson County	North America				United States		Colorado	Jackson County		Boettcher Ranch	Boettcher Ranch, Jackson Co., Colo.									Meghan L. Truckey		40.80694	-106.53472	World Geodetic System 1984	3036		40.80694/-106.53472			decimal degrees				Meghan L. Truckey	2012-06-27	GeoLocate	GeoLocate	unverified																					A		H. H. Sheldon	1914-06-19		field				Lepus townsendii campanius					Animalia; Chordata; Mammalia; Lagomorpha; Leporidae;	Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus		townsendii	campanius	subspecies				ICZN			600	total length	0				female		Denver Museum of Nature & Science. DMNS Mammal Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=dmns_mamm (source published on 2019-07-07)	5f3463d2-51b6-4a8a-b252-9bab4388934e	a2ef6dd1-8886-48c9-8025-c62bac973cc7	john.demboski@dmns.org	John Demboski	2019-07-07	2019-09-21	no migrator	0	0	0	0	0	specimen	1
