iteration,K,pop_size,desired_h2,p_corin,p_ednrb,Va,Ve,Vp,obs_h2
1,2750,2750,0.64,0.703273,0.576182,6.29499,3.54093,9.79979,0.642359
1,2750,2750,0.64,0.703273,0.576182,6.34614,3.5697,9.8843,0.642043
1,2750,2750,0.64,0.703273,0.576182,6.35624,3.57539,9.78612,0.649516
1,2750,2750,0.64,0.703273,0.576182,6.50262,3.65772,10.0718,0.645627
1,2750,2750,0.64,0.703273,0.576182,6.57886,3.70061,10.1951,0.645293
1,2750,2750,0.64,0.703273,0.576182,6.08839,3.42472,9.47807,0.642366
1,2750,2750,0.64,0.703273,0.576182,6.37583,3.5864,10.1649,0.627241
1,2750,2750,0.64,0.703273,0.576182,6.31182,3.5504,10.0026,0.631017
1,2750,2750,0.64,0.703273,0.576182,6.33953,3.56599,9.81621,0.645823
1,2750,2750,0.64,0.703273,0.576182,6.16256,3.46644,9.8608,0.624955
1,2750,2750,0.64,0.703273,0.576182,6.28042,3.53274,10.032,0.626039
1,2750,2750,0.64,0.703273,0.576182,6.30709,3.54774,9.97677,0.632177
1,2750,2750,0.64,0.703273,0.576182,6.36655,3.58118,9.91269,0.642262
1,2750,2750,0.64,0.703273,0.576182,6.42286,3.61286,9.7457,0.659045
1,2750,2750,0.64,0.703273,0.576182,6.27106,3.52747,10.243,0.612226
1,2750,2750,0.64,0.703273,0.576182,6.32777,3.55937,9.76258,0.648166
1,2750,2750,0.64,0.703273,0.576182,6.39831,3.59905,10.231,0.625387
1,2750,2750,0.64,0.703273,0.576182,6.42348,3.61321,9.97443,0.643994
1,2750,2750,0.64,0.703273,0.576182,6.51099,3.66243,9.85107,0.660943
1,2750,2750,0.64,0.703273,0.576182,6.42603,3.61464,10.1532,0.632906
1,2750,2750,0.64,0.703273,0.576182,6.25406,3.51791,9.99828,0.625514
1,2750,2750,0.64,0.703273,0.576182,6.13039,3.44834,9.73406,0.629787
1,2750,2750,0.64,0.703273,0.576182,6.32261,3.55647,9.76314,0.6476
1,2750,2750,0.64,0.703273,0.576182,6.11009,3.43693,9.59056,0.637094
1,2750,2750,0.64,0.703273,0.576182,6.61537,3.72115,10.455,0.632748
1,2750,2750,0.64,0.703273,0.576182,6.64499,3.73781,10.5376,0.630596
1,2750,2750,0.64,0.703273,0.576182,6.36008,3.57755,10.3674,0.613467
1,2750,2750,0.64,0.703273,0.576182,6.21096,3.49366,9.41989,0.659345
1,2750,2750,0.64,0.703273,0.576182,6.3231,3.55675,9.81062,0.644516
1,2750,2750,0.64,0.703273,0.576182,6.68989,3.76306,10.4502,0.640166
1,2750,2750,0.64,0.703273,0.576182,6.52804,3.67202,10.1788,0.641339
1,2750,2750,0.64,0.703273,0.576182,6.46184,3.63478,10.3402,0.624921
1,2750,2750,0.64,0.703273,0.576182,6.311,3.54994,9.89457,0.637824
1,2750,2750,0.64,0.703273,0.576182,6.25496,3.51841,9.62566,0.649821
1,2750,2750,0.64,0.703273,0.576182,6.48425,3.64739,10.0296,0.64651
1,2750,2750,0.64,0.703273,0.576182,6.39323,3.59619,9.65588,0.662107
1,2750,2750,0.64,0.703273,0.576182,6.42596,3.6146,10.431,0.616042
1,2750,2750,0.64,0.703273,0.576182,6.28942,3.5378,9.89978,0.635309
1,2750,2750,0.64,0.703273,0.576182,6.40079,3.60044,10.0439,0.637279
1,2750,2750,0.64,0.703273,0.576182,6.155,3.46219,9.30358,0.661574
1,2750,2750,0.64,0.703273,0.576182,6.57419,3.69798,10.7735,0.610217
1,2750,2750,0.64,0.703273,0.576182,6.00834,3.37969,9.46318,0.634918
1,2750,2750,0.64,0.703273,0.576182,6.41131,3.60636,9.87842,0.649022
1,2750,2750,0.64,0.703273,0.576182,6.21537,3.49614,9.85387,0.630754
1,2750,2750,0.64,0.703273,0.576182,6.36139,3.57828,9.9038,0.642319
1,2750,2750,0.64,0.703273,0.576182,6.48116,3.64565,9.99106,0.648696
1,2750,2750,0.64,0.703273,0.576182,6.34482,3.56896,9.8216,0.646007
1,2750,2750,0.64,0.703273,0.576182,6.14655,3.45743,9.64523,0.637263
1,2750,2750,0.64,0.703273,0.576182,6.24906,3.5151,9.67972,0.645583
1,2750,2750,0.64,0.703273,0.576182,6.27023,3.527,9.5112,0.659247
1,2750,2750,0.64,0.703273,0.576182,6.22142,3.49955,9.57278,0.649907
1,2750,2750,0.64,0.703273,0.576182,6.48048,3.64527,9.94672,0.651519
1,2750,2750,0.64,0.703273,0.576182,6.0474,3.40166,9.47925,0.637962
1,2750,2750,0.64,0.703273,0.576182,6.7009,3.76926,10.3788,0.645633
1,2750,2750,0.64,0.703273,0.576182,6.41061,3.60597,9.89035,0.648169
1,2750,2750,0.64,0.703273,0.576182,6.34991,3.57182,10.0787,0.630033
1,2750,2750,0.64,0.703273,0.576182,6.54023,3.67888,10.4134,0.628057
1,2750,2750,0.64,0.703273,0.576182,6.44541,3.62554,9.89526,0.651363
1,2750,2750,0.64,0.703273,0.576182,6.34998,3.57187,9.7708,0.649894
1,2750,2750,0.64,0.703273,0.576182,6.22493,3.50152,9.41915,0.66088
1,2750,2750,0.64,0.703273,0.576182,6.59935,3.71213,10.4047,0.634267
1,2750,2750,0.64,0.703273,0.576182,6.2527,3.51715,9.69775,0.644758
1,2750,2750,0.64,0.703273,0.576182,6.32118,3.55566,9.70151,0.651566
1,2750,2750,0.64,0.703273,0.576182,6.38676,3.59255,9.85633,0.647986
1,2750,2750,0.64,0.703273,0.576182,6.75384,3.79904,10.734,0.629199
1,2750,2750,0.64,0.703273,0.576182,6.1988,3.48683,9.62088,0.644307
1,2750,2750,0.64,0.703273,0.576182,6.11286,3.43848,9.74488,0.627289
1,2750,2750,0.64,0.703273,0.576182,6.41365,3.60768,9.63709,0.665517
1,2750,2750,0.64,0.703273,0.576182,6.3156,3.55253,9.60275,0.657687
1,2750,2750,0.64,0.703273,0.576182,6.687,3.76143,10.0736,0.663815
1,2750,2750,0.64,0.703273,0.576182,6.56464,3.69261,10.4684,0.627088
1,2750,2750,0.64,0.703273,0.576182,6.37879,3.58807,9.77712,0.652419
1,2750,2750,0.64,0.703273,0.576182,6.31182,3.5504,9.58127,0.658767
1,2750,2750,0.64,0.703273,0.576182,6.2558,3.51889,9.71452,0.643964
1,2750,2750,0.64,0.703273,0.576182,6.59151,3.70773,10.3637,0.636021
1,2750,2750,0.64,0.703273,0.576182,6.47669,3.64314,10.3373,0.626537
1,2750,2750,0.64,0.703273,0.576182,6.43495,3.61966,10.2815,0.62588
1,2750,2750,0.64,0.703273,0.576182,6.62816,3.72834,10.6312,0.623465
1,2750,2750,0.64,0.703273,0.576182,6.44781,3.62689,9.90342,0.651069
1,2750,2750,0.64,0.703273,0.576182,6.61248,3.71952,10.4134,0.634998
1,2750,2750,0.64,0.703273,0.576182,6.7924,3.82073,10.8028,0.628763
1,2750,2750,0.64,0.703273,0.576182,6.38616,3.59221,10.1035,0.632074
1,2750,2750,0.64,0.703273,0.576182,6.28612,3.53594,9.76267,0.643893
1,2750,2750,0.64,0.703273,0.576182,6.35302,3.57357,9.81582,0.647222
1,2750,2750,0.64,0.703273,0.576182,6.50309,3.65799,10.3041,0.631115
1,2750,2750,0.64,0.703273,0.576182,6.47676,3.64318,10.1221,0.639861
1,2750,2750,0.64,0.703273,0.576182,6.54559,3.68189,10.0215,0.653157
1,2750,2750,0.64,0.703273,0.576182,6.37418,3.58548,9.90593,0.643471
1,2750,2750,0.64,0.703273,0.576182,6.10858,3.43608,9.43225,0.647627
1,2750,2750,0.64,0.703273,0.576182,6.2971,3.54212,9.73686,0.646728
1,2750,2750,0.64,0.703273,0.576182,6.30426,3.54615,10.0092,0.62985
1,2750,2750,0.64,0.703273,0.576182,6.51305,3.66359,10.1481,0.641798
1,2750,2750,0.64,0.703273,0.576182,6.08033,3.42018,9.66587,0.629052
1,2750,2750,0.64,0.703273,0.576182,6.30576,3.54699,9.61874,0.65557
1,2750,2750,0.64,0.703273,0.576182,6.46624,3.63726,9.83795,0.657275
1,2750,2750,0.64,0.703273,0.576182,6.22408,3.50105,9.81746,0.633981
1,2750,2750,0.64,0.703273,0.576182,6.46156,3.63463,10.1095,0.639156
1,2750,2750,0.64,0.703273,0.576182,6.62411,3.72606,10.0015,0.662312
1,2750,2750,0.64,0.703273,0.576182,6.44431,3.62492,10.1484,0.635008
1,2750,2750,0.64,0.703273,0.576182,6.36751,3.58172,10.002,0.636623
1,2750,2750,0.64,0.703273,0.576182,6.53618,3.6766,10.3635,0.630694
1,2750,2750,0.64,0.703273,0.576182,6.37177,3.58412,9.86588,0.645839
1,2750,2750,0.64,0.703273,0.576182,6.34887,3.57124,10.1833,0.623458
1,2750,2750,0.64,0.703273,0.576182,6.28749,3.53671,9.96956,0.630668
1,2750,2750,0.64,0.703273,0.576182,6.36759,3.58177,9.65178,0.659732
1,2750,2750,0.64,0.703273,0.576182,6.37342,3.58505,10.193,0.625275
1,2750,2750,0.64,0.703273,0.576182,6.27257,3.52832,9.67688,0.648201
1,2750,2750,0.64,0.703273,0.576182,6.40889,3.605,10.0367,0.638546
1,2750,2750,0.64,0.703273,0.576182,6.44781,3.62689,10.0484,0.641676
1,2750,2750,0.64,0.703273,0.576182,6.33802,3.56514,10.064,0.629774
1,2750,2750,0.64,0.703273,0.576182,6.3819,3.58982,9.99198,0.638702
1,2750,2750,0.64,0.703273,0.576182,6.43537,3.6199,10.169,0.632839
1,2750,2750,0.64,0.703273,0.576182,6.1396,3.45352,9.88621,0.621026
1,2750,2750,0.64,0.703273,0.576182,6.41716,3.60965,9.971,0.643582
1,2750,2750,0.64,0.703273,0.576182,6.31293,3.55102,9.87063,0.639567
1,2750,2750,0.64,0.703273,0.576182,6.19212,3.48307,9.90523,0.625137
1,2750,2750,0.64,0.703273,0.576182,6.47539,3.64241,10.1277,0.639372
1,2750,2750,0.64,0.703273,0.576182,6.32297,3.55667,9.70829,0.651297
1,2750,2750,0.64,0.703273,0.576182,6.49339,3.65253,9.88466,0.656917
1,2750,2750,0.64,0.703273,0.576182,6.47682,3.64321,9.9136,0.653327
1,2750,2750,0.64,0.703273,0.576182,6.1882,3.48086,9.32968,0.663281
1,2750,2750,0.64,0.703273,0.576182,6.41544,3.60868,9.79146,0.655208
1,2750,2750,0.64,0.703273,0.576182,6.47173,3.64035,9.89413,0.654097
1,2750,2750,0.64,0.703273,0.576182,6.47037,3.63958,9.94515,0.650606
1,2750,2750,0.64,0.703273,0.576182,6.77055,3.80843,10.3823,0.652123
1,2750,2750,0.64,0.703273,0.576182,6.43627,3.6204,9.80938,0.656135
1,2750,2750,0.64,0.703273,0.576182,6.40739,3.60416,10.0465,0.637772
1,2750,2750,0.64,0.703273,0.576182,6.32846,3.55976,9.60279,0.659023
1,2750,2750,0.64,0.703273,0.576182,6.33878,3.56557,9.77166,0.648691
1,2750,2750,0.64,0.703273,0.576182,6.38821,3.59337,9.50584,0.67203
1,2750,2750,0.64,0.703273,0.576182,6.50667,3.66,10.203,0.637725
1,2750,2750,0.64,0.703273,0.576182,6.61001,3.71813,10.3297,0.639905
1,2750,2750,0.64,0.703273,0.576182,6.50667,3.66,10.0606,0.646751
