seed,sim_gens,min_K,max_K,period,init_K,init_dec,init_corin,init_ednrb,init_opt,final_opt,fitness_width,lambda,replicate
1976425947517,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,15,1
4124254505324,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,15,10
4247244989016,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,15,11
3744392534167,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,15,12
4173364698024,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,15,13
4305075210726,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,15,14
4585796144831,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,15,15
4385635538997,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,15,16
7770062581512,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,15,17
4295565174275,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,15,18
3694952254696,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,15,19
4231454919500,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,15,2
4762755661742,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,15,20
2026806214149,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,15,21
8051724685211,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,15,22
1961925866958,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,15,23
1950925808542,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,15,24
4109824449099,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,15,25
3667932104704,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,15,26
7860473541622,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,15,27
4825893399004,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,15,28
3677232164444,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,15,29
4249925001557,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,15,3
8078564821620,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,15,30
3767622671801,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,15,4
4233444927543,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,15,5
4304395204149,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,15,6
8046564659723,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,15,7
7899123860590,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,15,8
4807992599844,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,15,9
7736492314073,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,4,1
4246824987594,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,4,10
4882134502088,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,4,11
2028736225746,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,4,12
4075304311615,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,4,13
3924463646970,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,4,14
3767372670677,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,4,15
3822463004576,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,4,16
4845176249874,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,4,17
7878403712067,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,4,18
1976155944980,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,4,19
4131584531002,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,4,2
3780662755112,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,4,20
7767002564907,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,4,21
4079644326038,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,4,22
7833593210066,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,4,23
3895123473085,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,4,24
4927575014102,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,4,25
2001666082354,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,4,26
4768535711252,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,4,27
1944875777485,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,4,28
4564795975537,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,4,29
8016534516217,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,4,3
4042654181184,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,4,30
4586076148037,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,4,4
8026864564880,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,4,5
3922383636355,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,4,6
7998244412222,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,4,7
4271815078155,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,4,8
4842526236383,80,500,5000,9,2750,F,0,0,0.13,0.876,0.5446,4,9
7927854054676,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,15,1
4381605523503,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,15,10
3851433170619,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,15,11
4307525216370,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,15,12
3859803226474,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,15,13
7763832538091,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,15,14
3935913706002,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,15,15
8000094421597,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,15,16
8161905237464,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,15,17
3766052663940,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,15,18
8186045354664,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,15,19
4809782793125,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,15,2
4885874542623,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,15,20
7866723619422,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,15,21
3853953187891,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,15,22
7978634314959,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,15,23
7962344230757,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,15,24
4387935550826,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,15,25
8169455283609,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,15,26
4192574759553,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,15,27
8077064812066,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,15,28
4361505431563,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,15,29
7828303140402,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,15,3
3891513450487,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,15,30
8148075170980,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,15,4
3794482826042,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,15,5
7764642549318,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,15,6
3876623342823,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,15,7
2035426263249,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,15,8
8163655244554,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,15,9
4357035410125,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,4,1
3850473165944,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,4,10
8214625520310,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,4,11
7870353651822,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,4,12
4790685877522,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,4,13
2029466227696,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,4,14
4294635169637,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,4,15
4255515023899,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,4,16
3933033690938,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,4,17
2013336143174,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,4,18
3999654025057,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,4,19
4762065657770,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,4,2
4917554913159,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,4,20
8159735223423,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,4,21
1965035883606,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,4,22
8056594703478,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,4,23
8082774838127,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,4,24
7808202958429,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,4,25
4036164161904,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,4,26
4061174257536,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,4,27
4051594211430,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,4,28
7907813930458,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,4,29
8212035509535,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,4,3
4538995768378,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,4,30
7877133705530,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,4,4
4767735707028,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,4,5
2614006233580,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,4,6
4787575847024,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,4,7
7752652453201,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,4,8
4833503670656,80,500,5000,9,2750,F,0,0,0.13,0.876,0.6562,4,9
3727382448196,80,500,5000,9,2750,F,0,0,0.13,0.876,0.7805,15,1
4894424632865,80,500,5000,9,2750,F,0,0,0.13,0.876,0.7805,15,10
4871324383058,80,500,5000,9,2750,F,0,0,0.13,0.876,0.7805,15,11
4582166115547,80,500,5000,9,2750,F,0,0,0.13,0.876,0.7805,15,12
4879924476576,80,500,5000,9,2750,F,0,0,0.13,0.876,0.7805,15,13
4021304105872,80,500,5000,9,2750,F,0,0,0.13,0.876,0.7805,15,14
3665942092845,80,500,5000,9,2750,F,0,0,0.13,0.876,0.7805,15,15
4823023257638,80,500,5000,9,2750,F,0,0,0.13,0.876,0.7805,15,16
2005766103101,80,500,5000,9,2750,F,0,0,0.13,0.876,0.7805,15,17
4037314167272,80,500,5000,9,2750,F,0,0,0.13,0.876,0.7805,15,18
4850916292370,80,500,5000,9,2750,F,0,0,0.13,0.876,0.7805,15,19
7963174235436,80,500,5000,9,2750,F,0,0,0.13,0.876,0.7805,15,2
3899443501319,80,500,5000,9,2750,F,0,0,0.13,0.876,0.7805,15,20
3652162016314,80,500,5000,9,2750,F,0,0,0.13,0.876,0.7805,15,21
8005444462198,80,500,5000,9,2750,F,0,0,0.13,0.876,0.7805,15,22
7816373043802,80,500,5000,9,2750,F,0,0,0.13,0.876,0.7805,15,23
3786792784297,80,500,5000,9,2750,F,0,0,0.13,0.876,0.7805,15,24
8060804719038,80,500,5000,9,2750,F,0,0,0.13,0.876,0.7805,15,25
4826506138330,80,500,5000,9,2750,F,0,0,0.13,0.876,0.7805,15,26
4411855637604,80,500,5000,9,2750,F,0,0,0.13,0.876,0.7805,15,27
4766195686513,80,500,5000,9,2750,F,0,0,0.13,0.876,0.7805,15,28
4864506376513,80,500,5000,9,2750,F,0,0,0.13,0.876,0.7805,15,29
4093564376915,80,500,5000,9,2750,F,0,0,0.13,0.876,0.7805,15,3
4140904568477,80,500,5000,9,2750,F,0,0,0.13,0.876,0.7805,15,30
1999776070094,80,500,5000,9,2750,F,0,0,0.13,0.876,0.7805,15,4
7956254194937,80,500,5000,9,2750,F,0,0,0.13,0.876,0.7805,15,5
4021894107966,80,500,5000,9,2750,F,0,0,0.13,0.876,0.7805,15,6
8009654481423,80,500,5000,9,2750,F,0,0,0.13,0.876,0.7805,15,7
4351625389071,80,500,5000,9,2750,F,0,0,0.13,0.876,0.7805,15,8
2007626113076,80,500,5000,9,2750,F,0,0,0.13,0.876,0.7805,15,9
2039926285036,80,500,5000,9,2750,F,0,0,0.13,0.876,0.7805,4,1
4095814385188,80,500,5000,9,2750,F,0,0,0.13,0.876,0.7805,4,10
4156364634571,80,500,5000,9,2750,F,0,0,0.13,0.876,0.7805,4,11
7706392036820,80,500,5000,9,2750,F,0,0,0.13,0.876,0.7805,4,12
4259415035960,80,500,5000,9,2750,F,0,0,0.13,0.876,0.7805,4,13
4339695345715,80,500,5000,9,2750,F,0,0,0.13,0.876,0.7805,4,14
4576636069551,80,500,5000,9,2750,F,0,0,0.13,0.876,0.7805,4,15
4557485918151,80,500,5000,9,2750,F,0,0,0.13,0.876,0.7805,4,16
7701651997776,80,500,5000,9,2750,F,0,0,0.13,0.876,0.7805,4,17
