seed,sim_gens,init_corin,init_opt,final_opt,fitness_width,lambda,replicate
7727562237573,80,0,0.13,0.876,0.5446,15,1
4241304957773,80,0,0.13,0.876,0.5446,15,10
1890844495505,80,0,0.13,0.876,0.5446,15,11
2031806240011,80,0,0.13,0.876,0.5446,15,12
4089044361324,80,0,0.13,0.876,0.5446,15,13
7871403661390,80,0,0.13,0.876,0.5446,15,14
7782972693361,80,0,0.13,0.876,0.5446,15,15
7816143043315,80,0,0.13,0.876,0.5446,15,16
2026896215747,80,0,0.13,0.876,0.5446,15,17
3950053776383,80,0,0.13,0.876,0.5446,15,18
4563955965317,80,0,0.13,0.876,0.5446,15,19
8028354575066,80,0,0.13,0.876,0.5446,15,2
7796092833305,80,0,0.13,0.876,0.5446,15,20
7771562593382,80,0,0.13,0.876,0.5446,15,21
4083454341333,80,0,0.13,0.876,0.5446,15,22
4822993257565,80,0,0.13,0.876,0.5446,15,23
7852483458416,80,0,0.13,0.876,0.5446,15,24
4265595056156,80,0,0.13,0.876,0.5446,15,25
1992066028899,80,0,0.13,0.876,0.5446,15,26
4537095754309,80,0,0.13,0.876,0.5446,15,27
2585015789730,80,0,0.13,0.876,0.5446,15,28
1988776011294,80,0,0.13,0.876,0.5446,15,29
8013274497277,80,0,0.13,0.876,0.5446,15,3
4057644237115,80,0,0.13,0.876,0.5446,15,30
2021246189031,80,0,0.13,0.876,0.5446,15,4
4131214529398,80,0,0.13,0.876,0.5446,15,5
7872873674775,80,0,0.13,0.876,0.5446,15,6
4092724373717,80,0,0.13,0.876,0.5446,15,7
8131945093449,80,0,0.13,0.876,0.5446,15,8
4596736233095,80,0,0.13,0.876,0.5446,15,9
4800275936302,80,0,0.13,0.876,0.5446,4,1
4121334494201,80,0,0.13,0.876,0.5446,4,10
4241084957203,80,0,0.13,0.876,0.5446,4,11
7773962609777,80,0,0.13,0.876,0.5446,4,12
8059504711320,80,0,0.13,0.876,0.5446,4,13
4314125242841,80,0,0.13,0.876,0.5446,4,14
4591166188609,80,0,0.13,0.876,0.5446,4,15
4399985592274,80,0,0.13,0.876,0.5446,4,16
7768462569601,80,0,0.13,0.876,0.5446,4,17
4300865190953,80,0,0.13,0.876,0.5446,4,18
3706272326148,80,0,0.13,0.876,0.5446,4,19
4235114931913,80,0,0.13,0.876,0.5446,4,2
1926005674017,80,0,0.13,0.876,0.5446,4,20
2036166267067,80,0,0.13,0.876,0.5446,4,21
4901344729506,80,0,0.13,0.876,0.5446,4,22
4797025915973,80,0,0.13,0.876,0.5446,4,23
1945055780389,80,0,0.13,0.876,0.5446,4,24
4114914466528,80,0,0.13,0.876,0.5446,4,25
7711232071835,80,0,0.13,0.876,0.5446,4,26
4831213583016,80,0,0.13,0.876,0.5446,4,27
3897063488063,80,0,0.13,0.876,0.5446,4,28
3681002181897,80,0,0.13,0.876,0.5446,4,29
8104824962453,80,0,0.13,0.876,0.5446,4,3
4211354841880,80,0,0.13,0.876,0.5446,4,30
7782982693360,80,0,0.13,0.876,0.5446,4,4
4230604917886,80,0,0.13,0.876,0.5446,4,5
4947335249054,80,0,0.13,0.876,0.5446,4,6
4158764644301,80,0,0.13,0.876,0.5446,4,7
3977943916358,80,0,0.13,0.876,0.5446,4,8
7765462551385,80,0,0.13,0.876,0.5446,4,9
8188205364696,80,0,0.13,0.876,0.6562,15,1
7822343089329,80,0,0.13,0.876,0.6562,15,10
4376925503910,80,0,0.13,0.876,0.6562,15,11
3928723669184,80,0,0.13,0.876,0.6562,15,12
1969805908338,80,0,0.13,0.876,0.6562,15,13
2032656250105,80,0,0.13,0.876,0.6562,15,14
4300925190961,80,0,0.13,0.876,0.6562,15,15
4258065031944,80,0,0.13,0.876,0.6562,15,16
3918003612319,80,0,0.13,0.876,0.6562,15,17
4591106187059,80,0,0.13,0.876,0.6562,15,18
4005034046580,80,0,0.13,0.876,0.6562,15,19
2578595695406,80,0,0.13,0.876,0.6562,15,2
4921624953869,80,0,0.13,0.876,0.6562,15,20
4311195233787,80,0,0.13,0.876,0.6562,15,21
1967625900146,80,0,0.13,0.876,0.6562,15,22
8059474711245,80,0,0.13,0.876,0.6562,15,23
4906864815066,80,0,0.13,0.876,0.6562,15,24
7818483057209,80,0,0.13,0.876,0.6562,15,25
4026294128302,80,0,0.13,0.876,0.6562,15,26
4862864294698,80,0,0.13,0.876,0.6562,15,27
7961344222465,80,0,0.13,0.876,0.6562,15,28
3994684000847,80,0,0.13,0.876,0.6562,15,29
4971635494681,80,0,0.13,0.876,0.6562,15,3
1951235810105,80,0,0.13,0.876,0.6562,15,30
3949673774905,80,0,0.13,0.876,0.6562,15,4
4762655661074,80,0,0.13,0.876,0.6562,15,5
4842496236205,80,0,0.13,0.876,0.6562,15,6
4545255816752,80,0,0.13,0.876,0.6562,15,7
