seed,sim_gens,init_corin,init_ednrb,init_opt,final_opt,fitness_width,lambda,replicate
4321025027404,80,0,0,0.13,0.876,0.5446,15,1
4754396102621,80,0,0,0.13,0.876,0.5446,15,10
2947174540115,80,0,0,0.13,0.876,0.5446,15,11
3125085137030,80,0,0,0.13,0.876,0.5446,15,12
7161544904861,80,0,0,0.13,0.876,0.5446,15,13
7675756353224,80,0,0,0.13,0.876,0.5446,15,14
3135955171907,80,0,0,0.13,0.876,0.5446,15,15
1653784595844,80,0,0,0.13,0.876,0.5446,15,16
3169885298442,80,0,0,0.13,0.876,0.5446,15,17
3014344771090,80,0,0,0.13,0.876,0.5446,15,18
2993374691004,80,0,0,0.13,0.876,0.5446,15,19
3573796255028,80,0,0,0.13,0.876,0.5446,15,2
1681335270349,80,0,0,0.13,0.876,0.5446,15,20
7218585204772,80,0,0,0.13,0.876,0.5446,15,21
7175394973587,80,0,0,0.13,0.876,0.5446,15,22
4334435161965,80,0,0,0.13,0.876,0.5446,15,23
3037214851284,80,0,0,0.13,0.876,0.5446,15,24
3077064992776,80,0,0,0.13,0.876,0.5446,15,25
3143055197047,80,0,0,0.13,0.876,0.5446,15,26
7646946182012,80,0,0,0.13,0.876,0.5446,15,27
2944724536747,80,0,0,0.13,0.876,0.5446,15,28
7173414960477,80,0,0,0.13,0.876,0.5446,15,29
3557136188077,80,0,0,0.13,0.876,0.5446,15,3
4282144630449,80,0,0,0.13,0.876,0.5446,15,30
3081365014622,80,0,0,0.13,0.876,0.5446,15,4
2926854488767,80,0,0,0.13,0.876,0.5446,15,5
7129354731462,80,0,0,0.13,0.876,0.5446,15,6
4666795453499,80,0,0,0.13,0.876,0.5446,15,7
2997194708561,80,0,0,0.13,0.876,0.5446,15,8
4348045257422,80,0,0,0.13,0.876,0.5446,15,9
7208615162565,80,0,0,0.13,0.876,0.5446,4,1
2976594629071,80,0,0,0.13,0.876,0.5446,4,10
7666276294776,80,0,0,0.13,0.876,0.5446,4,11
3106865081290,80,0,0,0.13,0.876,0.5446,4,12
3160815271818,80,0,0,0.13,0.876,0.5446,4,13
2925354487142,80,0,0,0.13,0.876,0.5446,4,14
3081155012951,80,0,0,0.13,0.876,0.5446,4,15
3564116213294,80,0,0,0.13,0.876,0.5446,4,16
3040914864890,80,0,0,0.13,0.876,0.5446,4,17
3198985391648,80,0,0,0.13,0.876,0.5446,4,18
3515245914849,80,0,0,0.13,0.876,0.5446,4,19
2958164570983,80,0,0,0.13,0.876,0.5446,4,2
3052304902110,80,0,0,0.13,0.876,0.5446,4,20
7174254962847,80,0,0,0.13,0.876,0.5446,4,21
3140975186964,80,0,0,0.13,0.876,0.5446,4,22
7182245007607,80,0,0,0.13,0.876,0.5446,4,23
7246895333457,80,0,0,0.13,0.876,0.5446,4,24
4339995198115,80,0,0,0.13,0.876,0.5446,4,25
3078484998907,80,0,0,0.13,0.876,0.5446,4,26
4278664607714,80,0,0,0.13,0.876,0.5446,4,27
3582546291578,80,0,0,0.13,0.876,0.5446,4,28
4342765209835,80,0,0,0.13,0.876,0.5446,4,29
