source.x,ID_num,ID_museum,year,latitude,longitude,winter_pheno,seq,seq_bool,pheno_bool,notes_on_tissue,extracted_me,state
AMNH,3548,AMNH_3548,NA,45.97293,-96.04714,NA,NA,FALSE,FALSE,,,
AMNH,3549,AMNH_3549,NA,45.97293,-96.04714,NA,NA,FALSE,FALSE,,,
Roadkill,NA,LTW_NDK_4167,2018,46.8248,-96.8827,Winter white,NA,FALSE,TRUE,,Y,ND
Shot,JR1,LTW_NDK_4143,2017,46.350186,-96.634486,Winter white,NA,FALSE,TRUE,,Y,ND
Shot,JR2,LTW_NDK_4144,2017,46.350186,-96.634486,Winter white,NA,FALSE,TRUE,,Y,ND
Shot,JR3,LTW_NDK_4145,2017,46.350186,-96.634486,Winter white,NA,FALSE,TRUE,,Y,ND
Shot,JR4,LTW_NDK_4146,2017,46.350186,-96.634486,Winter white,NA,FALSE,TRUE,,Y,ND
Shot,JR5,LTW_NDK_4147,2017,46.350186,-96.634486,Winter white,NA,FALSE,TRUE,,Y,ND
Shot,JR6,LTW_NDK_4148,2017,46.350186,-96.634486,Winter white,NA,FALSE,TRUE,,Y,ND
Shot,JR7,LTW_NDK_4149,2017,46.350186,-96.634486,Winter white,NA,FALSE,TRUE,,Y,ND
Shot,JR8,LTW_NDK_4150,2017,46.350186,-96.634486,Winter white,NA,FALSE,TRUE,,Y,ND
Shot,JR9,LTW_NDK_4151,2017,46.350186,-96.634486,Winter white,NA,FALSE,TRUE,,Y,ND
Shot,JR10,LTW_NDK_4152,2017,46.350186,-96.634486,Winter white,NA,FALSE,TRUE,,Y,ND
Shot,JR11,LTW_NDK_4153,2017,46.350186,-96.634486,Winter white,NA,FALSE,TRUE,,Y,ND
Shot,JR12,LTW_NDK_4154,2017,46.350186,-96.634486,Winter white,NA,FALSE,TRUE,,Y,ND
Shot,JR13,LTW_NDK_4155,2017,46.350186,-96.634486,Winter white,NA,FALSE,TRUE,,Y,ND
Shot,JR14,LTW_NDK_4156,2017,46.350186,-96.634486,Winter white,NA,FALSE,TRUE,,Y,ND
Shot,JR15,LTW_NDK_4157,2017,46.350186,-96.634486,Winter white,NA,FALSE,TRUE,,Y,ND
